location,longitude,latitude,start,end,epiUnit
Aborg,9.9132,55.3127,2/9/2023,2/9/2023,Not applicable
Ny Pøl,10.0523,54.9017,2/7/2023,2/7/2023,Not applicable
Gershøj,11.9692,55.7072,2/6/2023,2/6/2023,Not applicable
Jersore,10.2295,55.5894,2/5/2023,2/5/2023,Not applicable
Næstved,11.7612,55.2002,2/3/2023,2/3/2023,Not applicable
Teglgårdshuse,10.8101,55.2056,2/4/2023,2/4/2023,Not applicable
Hou,10.3666,57.047,2/3/2023,2/3/2023,Not applicable
Mjolden,8.7557,55.1209,2/1/2023,2/1/2023,Not applicable
Grønholt,12.3822,55.953,2/1/2023,2/1/2023,Not applicable
Korinth,10.3949,55.1359,10/14/2022,10/14/2022,Not applicable
Nørresundby,9.9315,57.072,1/28/2023,1/28/2023,Not applicable
Nyvang,12.2927,55.8146,1/31/2023,1/31/2023,Not applicable
Faaborg,10.256,55.0879,1/26/2023,1/26/2023,Not applicable
Vejby,9.868,57.4002,1/25/2023,1/25/2023,Not applicable
Herslev,12.0138,55.6875,1/28/2023,1/28/2023,Not applicable
Nykøbing F,11.8826,54.7871,1/25/2023,1/25/2023,Not applicable
Ans,9.6343,56.3132,1/22/2023,1/22/2023,Not applicable
Ollerup,10.4932,55.0739,1/22/2023,1/22/2023,Not applicable
Gråsten,9.5888,54.9207,1/20/2023,1/20/2023,Not applicable
Nørresundby,9.9098,57.0616,1/21/2023,1/21/2023,Not applicable
Vadum,9.8568,57.1208,1/17/2023,1/17/2023,Not applicable
Mern,12.0499,55.0646,1/15/2023,1/15/2023,Not applicable
Dvergetved,10.3451,57.4628,12/21/2022,12/21/2022,Not applicable
Everdrup,11.97,55.2,1/5/2023,1/5/2023,Not applicable
Sunds,9.0233,56.2172,1/7/2023,1/7/2023,Not applicable
Brande,9.1027,55.9444,1/6/2023,1/6/2023,Not applicable
Ustrup,9.3831,55.2053,1/8/2023,1/8/2023,Not applicable
Billund,9.0279,55.7242,1/3/2023,1/3/2023,Not applicable
Knudsbjerg,12.2112,55.7424,1/3/2023,1/3/2023,Not applicable
Skærbæk,9.6237,55.5135,1/2/2023,1/2/2023,Not applicable
Hoptrup,9.4544,55.1774,1/8/2023,1/8/2023,Not applicable
Sømarken,15.0265,54.995,1/3/2023,1/3/2023,Not applicable
Sæne,14.7653,55.2791,1/3/2023,1/3/2023,Not applicable
Føllestrand,10.4121,56.2917,12/30/2022,12/30/2022,Not applicable
Dollerup,9.3416,56.3755,12/31/2022,12/31/2022,Not applicable
Sundsøre,9.1704,56.714,12/31/2022,12/31/2022,Not applicable
Assens,9.9531,55.2795,1/1/2023,1/1/2023,Not applicable
Tisted,10.0358,56.7667,12/28/2022,12/28/2022,Not applicable
Stevnstrup,9.9449,56.4328,12/29/2022,12/29/2022,Not applicable
Hørby,10.3916,57.3311,12/30/2022,12/30/2022,Not applicable
Kibæk,8.8561,56.0371,12/26/2022,12/26/2022,Not applicable
Fensmark,11.762,55.2775,12/22/2022,12/22/2022,Not applicable
Hårbølle Havn,12.1527,54.8817,12/21/2022,12/21/2022,Not applicable
Nørreballe,11.4259,54.8067,12/15/2022,12/15/2022,Not applicable
Søhuse,8.2629,55.6809,12/16/2022,12/16/2022,Not applicable
Nexø,15.1237,55.054,12/15/2022,12/15/2022,Not applicable
Velling,8.3095,56.0503,12/20/2022,12/20/2022,Not applicable
Ringkøbing,8.2644,56.0773,12/21/2022,12/21/2022,Not applicable
Sunds,9.0164,56.2069,12/3/2022,12/3/2022,Not applicable
Hinnerup,9.0898,56.7231,11/28/2022,11/28/2022,Not applicable
Gredstedbro,8.6611,55.39723,11/9/2022,11/9/2022,Not applicable
Vadshuse,12.2339,56.0661,11/22/2022,11/22/2022,Not applicable
Bjergby,10.0031,56.5167,11/22/2022,11/22/2022,Not applicable
Ølgod,8.6073,55.8119,11/22/2022,11/22/2022,Not applicable
Draget,8.3566,56.6827,11/18/2022,11/18/2022,Not applicable
Horsens,9.8808,55.8625,11/14/2022,11/14/2022,Not applicable
Nørre Højrup,10.2579,55.5538,11/10/2022,11/10/2022,Not applicable
Asserballe,9.9929,54.9617,11/16/2022,11/16/2022,Not applicable
Hornum,9.3857,56.8535,11/13/2022,11/13/2022,Not applicable
Gredstedbro,8.6611,55.3972,11/10/2022,11/11/2022,Not applicable
Tandslet,9.9795,54.9365,10/24/2022,10/27/2022,Backyard
Gredstedbro,8.6611,55.397,10/26/2022,10/29/2022,Not applicable
Randers,10.0213,56.4607,10/27/2022,10/27/2022,Not applicable
Fuglebjerg,11.6213,55.3273,10/26/2022,10/26/2022,Not applicable
Jyderup,11.3639,55.6779,10/16/2022,10/16/2022,Not applicable
Jyllinge,12.1166,55.7323,10/17/2022,10/17/2022,Not applicable
Tuen,10.3159,57.6187,7/2/2022,7/2/2022,Not applicable
Næsby,11.601,55.3719,9/25/2022,9/25/2022,Not applicable
Korinth,10.35228,55.14294,9/11/2022,9/11/2022,Not applicable
Skuderløse,11.83541,55.306052,9/5/2022,9/5/2022,Not applicable
Ruds Vedby,11.375387,55.544753,9/5/2022,9/5/2022,Not applicable
Rønbjerg,8.8902,56.5033,4/13/2022,4/13/2022,Not applicable
Århus,10.158309,56.175307,8/12/2022,8/12/2022,Not applicable
Mandemark,12.5508,54.9718,7/16/2022,7/16/2022,Not applicable
Rude,11.4481,55.2232,11/20/2021,11/20/2021,Backyard
Hornslet,10.28352,56.320039,2/24/2022,2/24/2022,Not applicable
Horsens,10.002942,55.868088,6/10/2022,6/10/2022,Not applicable
Agernæs,10.332643,55.615305,5/23/2022,5/23/2022,Not applicable
Nymindegab,8.166129,55.835285,6/28/2022,6/28/2022,Not applicable
Lyngby,8.290798,56.878821,6/27/2022,6/27/2022,Not applicable
Krogen,9.411253,57.167999,6/27/2022,6/28/2022,Not applicable
Søndervig,8.11,56.12,6/20/2022,6/20/2022,Not applicable
Vester Husby,8.128616,56.27356,6/19/2022,6/19/2022,Not applicable
Grønhøj,9.659,57.3236,6/19/2022,6/20/2022,Not applicable
Fjaltring,8.121335,56.496457,6/20/2022,6/20/2022,Not applicable
Lild Strand,9.013406,57.156131,6/22/2022,6/22/2022,Not applicable
Krogen,9.445708,57.182578,6/23/2022,6/23/2022,Not applicable
Slettestrand,9.373037,57.148175,6/23/2022,6/23/2022,Not applicable
Blokhus,9.5763,57.2523,6/20/2022,6/20/2022,Not applicable
Klegod,8.0998,56.0701,6/18/2022,6/18/2022,Not applicable
Ingstrup,9.645,57.3102,6/18/2022,6/18/2022,Not applicable
Thyborøn,8.2492,56.7249,6/16/2022,6/18/2022,Not applicable
Vejlby Strand,8.1367,56.5826,6/19/2022,6/19/2022,Not applicable
Vejers Strand,8.1198,55.6268,6/17/2022,6/17/2022,Not applicable
Sønderho,8.474504,55.349731,6/17/2022,6/17/2022,Not applicable
Sprogø,10.966165,55.332446,6/13/2022,6/13/2022,Not applicable
Fåre,8.274397,56.460698,6/15/2022,6/15/2022,Not applicable
Kandestederne,10.397362,57.666477,6/13/2022,6/13/2022,Not applicable
Hvide Sande,8.111476,56.003811,6/10/2022,6/10/2022,Not applicable
Tornby Strand,9.91671,57.56125,6/7/2022,6/12/2022,Not applicable
Lønstrup,9.792107,57.469964,6/12/2022,6/12/2022,Not applicable
Thyborøn,8.2497,56.73314,6/11/2022,6/11/2022,Not applicable
Nørre Vorupør,8.367961,56.955257,6/7/2022,6/7/2022,Not applicable
Volderslev,10.39401,55.331506,6/7/2022,6/7/2022,Not applicable
Dybskrog,10.3673,55.062,1/14/2022,1/14/2022,Not applicable
Nørresundby,9.9106,57.0732,1/29/2022,1/29/2022,Not applicable
Munkebo,10.5808,55.4821,1/1/2022,1/1/2022,Not applicable
Ubby,11.211687,55.608424,3/26/2022,3/26/2022,Not applicable
Hårbølle,12.133009,54.890812,5/1/2022,5/1/2022,Not applicable
Borgsted,12.103983,54.905224,4/17/2022,4/17/2022,Not applicable
Skodbjege,8.176425,55.906412,4/19/2022,4/19/2022,Not applicable
Store Fuglede,11.244942,55.595479,4/8/2022,4/8/2022,Not applicable
Aabenraa,9.395448,55.041554,4/9/2022,4/9/2022,Not applicable
Høgsbro,8.704511,55.252709,4/9/2022,4/9/2022,Not applicable
Faxe Ladesplads,12.097409,55.272409,3/16/2022,3/16/2022,Not applicable
Gilleleje,12.338588,56.116535,3/26/2022,3/26/2022,Not applicable
Tranekær,10.8852,55.091,3/27/2022,3/28/2022,Backyard
Slagelse,11.4204,55.4025,3/21/2022,3/21/2022,Not applicable
Holte,12.4748,55.8303,3/21/2022,3/21/2022,Not applicable
Lildfrost,9.3741,55.717,3/13/2022,3/13/2022,Not applicable
Hærup,9.6098,56.5796,3/11/2022,3/11/2022,Not applicable
Egeby,10.3316,55.6097,3/9/2022,3/9/2022,Not applicable
Karrebæksminde,11.656,55.1942,3/1/2022,3/1/2022,Not applicable
Haarby,10.119,55.2202,3/1/2022,3/1/2022,Not applicable
Karrebæksminde,11.656,55.1942,3/1/2022,3/1/2022,Not applicable
Sinding,9.4332,56.2132,2/9/2022,2/9/2022,Not applicable
Tversted,10.1851,57.5839,2/21/2022,2/21/2022,Not applicable
Høng,11.2667,55.5008,2/20/2022,2/20/2022,Not applicable
Jylling,12.0903,55.7659,2/21/2022,2/21/2022,Not applicable
Hjørring,9.9861,57.4426,2/17/2022,2/17/2022,Not applicable
Tårnby,12.5762,55.6019,2/17/2022,2/17/2022,Not applicable
Bybjerg,11.797,55.7685,2/13/2022,2/13/2022,Not applicable
Ballen,10.6332,55.8316,2/13/2022,2/13/2022,Not applicable
Vollerup,11.0826,55.7265,2/12/2022,2/12/2022,Not applicable
Hærup,9.5909,56.5725,2/5/2022,2/5/2022,Not applicable
Korsør,11.1637,55.3127,2/11/2022,2/11/2022,Not applicable
Ronæs,9.8268,55.4399,2/12/2022,2/12/2022,Not applicable
Hjerting,8.3581,55.5388,2/12/2022,2/12/2022,Not applicable
Lille Rise,10.4322,54.8536,2/6/2022,2/6/2022,Not applicable
Hampen,9.4064,56.0156,2/1/2022,2/1/2022,Not applicable
Gjerlev,10.1598,56.6008,1/30/2022,1/30/2022,Not applicable
Norsminde,10.2516,56.026,1/31/2022,1/31/2022,Not applicable
Spragelse,11.777,55.3118,1/30/2022,1/30/2022,Not applicable
Midskov,10.5973,55.5116,1/25/2022,1/25/2022,Not applicable
Kirke Værløse,12.3172,55.7842,1/25/2022,1/25/2022,Not applicable
Vejrup,8.838,55.5141,1/24/2022,1/24/2022,Not applicable
Dagløkke,12.5061,55.9548,1/23/2022,1/23/2022,Not applicable
Ugerløse,11.6813,55.5974,1/24/2022,1/24/2022,Not applicable
Vejen,9.1245,55.4433,1/23/2022,1/23/2022,Not applicable
Ansager,8.771,55.7225,1/18/2022,1/18/2022,Not applicable
Hornslet,10.3406,56.2893,1/15/2022,1/15/2022,Not applicable
Faaborg,10.3686,55.0612,1/16/2022,1/16/2022,Not applicable
Søborg,9.6032,56.3798,1/15/2022,1/15/2022,Not applicable
Solrød Strand,12.1701,55.5244,1/17/2022,1/17/2022,Not applicable
Grenaa,10.7815,56.4213,1/11/2022,1/11/2022,Not applicable
Korsør,11.1628,55.357,1/12/2022,1/12/2022,Not applicable
Årre,8.7422,55.5648,1/11/2022,1/11/2022,Not applicable
Søbjerg Huse,11.6102,55.4496,1/13/2022,1/15/2022,Backyard
Brønderslev,10.293,57.2434,1/8/2022,1/8/2022,Not applicable
Fogedmark,10.5341,55.816,1/8/2022,1/8/2022,Not applicable
Gjesing,8.4505,55.5193,1/9/2022,1/9/2022,Not applicable
Ørskov,9.902,55.9321,1/7/2022,1/7/2022,Not applicable
Marstal,10.5148,54.8525,1/3/2022,1/3/2022,Not applicable
Harndrup,10.0251,55.4739,1/6/2022,1/6/2022,Not applicable
Ottersbøl,8.7593,55.1323,1/7/2022,1/7/2022,Not applicable
Gedser,11.938,54.5727,1/8/2022,1/8/2022,Not applicable
Egerup,11.2611,55.2809,1/5/2022,1/5/2022,Not applicable
Hårlev,12.2296,55.3473,1/3/2022,1/3/2022,Not applicable
Brande,9.1113,55.9375,12/31/2021,12/31/2021,Not applicable
Holbæk,11.6822,55.7123,1/4/2022,1/4/2022,Not applicable
Skjern,8.5116,55.9484,1/3/2022,1/3/2022,Not applicable
Gjessø,9.4453,56.1136,12/31/2021,12/31/2021,Not applicable
Hvide Sande,8.1313,56.0059,1/2/2022,1/2/2022,Not applicable
Herning,8.9537,56.1534,1/4/2022,1/4/2022,Not applicable
Kærbøl,8.7352,55.3639,1/3/2022,1/3/2022,Not applicable
Broager,9.6846,54.8851,1/3/2022,1/3/2022,Not applicable
Boderne,14.9087,55.023,1/1/2022,1/1/2022,Not applicable
Kalundborg,11.0313,55.698,12/24/2021,12/24/2021,Not applicable
Arnager,14.7759,55.053,1/1/2022,1/1/2022,Not applicable
Rønne,14.6995,55.1202,1/1/2022,1/1/2022,Not applicable
Østerild,8.842,57.0307,12/25/2021,12/25/2021,Not applicable
Broager,9.6534,54.8891,1/1/2022,1/1/2022,Not applicable
Uldborg Kirkeby,8.3043,56.314,12/19/2021,12/19/2021,Not applicable
Selde,9.0398,56.786,12/20/2021,12/20/2021,Not applicable
Bølling,8.5374,55.9948,12/18/2021,12/18/2021,Not applicable
Rutsker,14.7499,55.2082,12/20/2021,12/20/2021,Not applicable
Gundsømagle,12.1629,55.7359,12/21/2021,12/21/2021,Not applicable
Vadum,9.8558,57.1227,12/17/2021,12/17/2021,Not applicable
Vallensved,11.6509,55.2823,12/19/2021,12/19/2021,Not applicable
Branderslev,11.1307,54.8667,12/17/2021,12/17/2021,Not applicable
Seden Strand,10.4483,55.4395,12/19/2021,12/19/2021,Not applicable
Englerup,11.8214,55.6686,12/16/2021,12/16/2021,Not applicable
Skelby,11.6436,55.3001,12/15/2021,12/15/2021,Not applicable
Bogø,12.0851,54.9258,12/13/2021,12/13/2021,Not applicable
Haderslev,9.451,55.185,12/7/2021,12/8/2021,Not applicable
Varde,8.6802,55.6556,12/2/2021,12/2/2021,Not applicable
Årslev,10.5095,55.3184,11/23/2021,11/23/2021,Not applicable
Sønderho,8.4713,55.3496,11/26/2021,11/26/2021,Not applicable
Bjernemark,10.5888,55.0215,11/23/2021,11/23/2021,Not applicable
Ringkøbing,8.295,56.064,11/22/2021,11/22/2021,Not applicable
Bjerge Sydstrand,11.1676,55.5547,11/21/2021,11/21/2021,Not applicable
Kolby Kås,10.5343,55.8056,11/17/2021,11/17/2021,Not applicable
