id,oieReference,nationalReference,adminDivision,location,epiUnitType,clusterCount,startDate,endDate,createdByReportId,lastUpdateReportId,longitude,latitude,description,speciesNumber,start,end,epiUnit
115578,ob_115578,,Kiskunmajsa,Kiskunmajsa,Farm,1,2023-03-05T00:00:00.000+00:00,2023-03-07T00:00:00.000+00:00,159770,159881,19.727489,46.537062,,1,3/4/2023,3/6/2023,Farm
114273,ob_114273,,Kiskunmajsa,Jászszentlászló,Farm,1,2023-02-14T00:00:00.000+00:00,2023-02-17T00:00:00.000+00:00,159419,159881,19.790439,46.551046,,1,2/13/2023,2/16/2023,Farm
115295,ob_115295,,Kiskőrös,Bócsa,Farm,1,2023-03-01T00:00:00.000+00:00,2023-03-03T00:00:00.000+00:00,159705,159881,19.545341,46.635031,,1,2/28/2023,3/2/2023,Farm
110002,ob_110002,,Kiskunmajsa,Csólyospálos,Farm,1,2022-11-26T00:00:00.000+00:00,2022-12-30T00:00:00.000+00:00,158181,159881,19.84423,46.43207,,1,11/25/2022,12/29/2022,Farm
115574,ob_115574,,Kiskőrös,Bócsa,Farm,1,2023-03-03T00:00:00.000+00:00,,159770,159881,19.462954,46.598273,,1,3/2/2023,12/31/1969,Farm
115579,ob_115579,,Kiskőrös,Bócsa,Farm,1,2023-03-08T00:00:00.000+00:00,,159770,159770,19.439083,46.614164,,1,3/7/2023,12/31/1969,Farm
115577,ob_115577,,Kiskőrös,Bócsa,Farm,1,2023-03-05T00:00:00.000+00:00,,159770,159770,19.533666,46.631954,,1,3/4/2023,12/31/1969,Farm
115576,ob_115576,,Kiskunfélegyháza,Bugac,Farm,1,2023-03-05T00:00:00.000+00:00,,159770,159770,19.663231,46.675382,,1,3/4/2023,12/31/1969,Farm
115575,ob_115575,,Kiskunfélegyháza,Bugacpusztaháza,Farm,1,2023-03-04T00:00:00.000+00:00,,159770,159770,19.650317,46.698392,,1,3/3/2023,12/31/1969,Farm
115296,ob_115296,,Kiskőrös,Bócsa,Farm,1,2023-03-02T00:00:00.000+00:00,2023-03-04T00:00:00.000+00:00,159705,159770,19.530675,46.609697,,1,3/1/2023,3/3/2023,Farm
114994,ob_114994,,Kiskunmajsa,Kiskunmajsa,Farm,1,2023-02-28T00:00:00.000+00:00,2023-03-09T00:00:00.000+00:00,159604,159770,19.723605,46.550029,Note (08/03/2023): The epidemiological unit was incorrectly reported as Forest. It has been changed to Farm.,1,2/27/2023,3/8/2023,Farm
114993,ob_114993,,Kiskőrös,Bócsa,Farm,1,2023-02-27T00:00:00.000+00:00,2023-03-03T00:00:00.000+00:00,159604,159770,19.444349,46.616224,Note (08/03/2023): The epidemiological unit was incorrectly reported as Forest. It has been changed to Farm.,1,2/26/2023,3/2/2023,Farm
114992,ob_114992,,Kiskőrös,Bócsa,Farm,1,2023-02-26T00:00:00.000+00:00,2023-03-01T00:00:00.000+00:00,159604,159770,19.538858,46.607374,Note (08/03/2023): The epidemiological unit was incorrectly reported as Forest. It has been changed to Farm.,1,2/25/2023,2/28/2023,Farm
114990,ob_114990,,Kiskőrös,Bócsa,Farm,1,2023-02-25T00:00:00.000+00:00,2023-02-28T00:00:00.000+00:00,159604,159770,19.532421,46.641252,Note (08/03/2023): The epidemiological unit was incorrectly reported as Forest. It has been changed to Farm.,1,2/24/2023,2/27/2023,Farm
114977,ob_114977,,Kiskunfélegyháza,Kiskunfélegyháza,Farm,1,2023-02-24T00:00:00.000+00:00,2023-02-25T00:00:00.000+00:00,159604,159770,19.858434,46.765936,Note (08/03/2023): The epidemiological unit was incorrectly reported as Forest. It has been changed to Farm.,1,2/23/2023,2/24/2023,Farm
114974,ob_114974,,Kiskunmajsa,Szank,Farm,1,2023-02-20T00:00:00.000+00:00,2023-02-20T00:00:00.000+00:00,159604,159770,19.6824,46.57088,,1,2/19/2023,2/19/2023,Farm
114278,ob_114278,,Kiskunmajsa,Szank,Farm,1,2023-02-18T00:00:00.000+00:00,2023-02-21T00:00:00.000+00:00,159419,159770,19.692088,46.569793,,1,2/17/2023,2/20/2023,Farm
114274,ob_114274,,Kiskőrös,Tázlár,Farm,1,2023-02-17T00:00:00.000+00:00,2023-02-18T00:00:00.000+00:00,159419,159770,19.486939,46.57233,,1,2/16/2023,2/17/2023,Farm
114275,ob_114275,,Kiskőrös,Tázlár,Farm,1,2023-02-17T00:00:00.000+00:00,2023-02-18T00:00:00.000+00:00,159419,159770,19.521271,46.55637,,1,2/16/2023,2/17/2023,Farm
114277,ob_114277,,Kiskunmajsa,Szank,Farm,1,2023-02-17T00:00:00.000+00:00,2023-02-20T00:00:00.000+00:00,159419,159770,19.663297,46.561767,,1,2/16/2023,2/19/2023,Farm
