location,longitude,latitude,start,end,epiUnit
Kilcolman nature reserve,-8.6093,52.25,2/13/2023,12/31/1969,Natural park
Kilcolman nature reserve,-8.6094,52.25,2/8/2023,12/31/1969,Natural park
Raheen,-8.58134,52.6767,2/9/2023,12/31/1969,Other
Kilcolman nature reserve,-8.6093,52.25,2/6/2023,12/31/1969,Natural park
Bandon,-8.761,51.7407,1/12/2023,12/31/1969,Not applicable
Clashduv park,-8.495,51.881,1/22/2023,12/31/1969,Not applicable
Wineport lakeshore,-7.886125,53.463921,1/10/2023,12/31/1969,Body of water
Cork city,-8.43159,51.899996,12/20/2022,12/31/1969,Not applicable
Aughnagamun,-7.8271,52.6006,12/5/2022,12/31/1969,Not applicable
Laois,-7.435,52.811,11/20/2022,12/31/1969,Not applicable
Edenderry,-7.0227,53.3278,11/10/2022,12/31/1969,Not applicable
