id,oieReference,nationalReference,adminDivision,location,epiUnitType,clusterCount,startDate,endDate,createdByReportId,lastUpdateReportId,longitude,latitude,description,speciesNumber,start,end,epiUnit
115972,ob_115972,HPAI_2023_ZH_38,Rathouse,Zürich,Body of water,1,2023-02-24T00:00:00.000+00:00,,159906,159906,8.542,47.374,,1,2/23/2023,12/31/1969,Body of water
115971,ob_115971,HPAI_2023_FR_2,Murten,Murten,Body of water,1,2023-03-03T00:00:00.000+00:00,,159906,159906,7.116,46.931,,1,3/2/2023,12/31/1969,Body of water
115970,ob_115970,HPAI_2023_ZH_37,Hochschulen,Zürich,Body of water,1,2023-03-08T00:00:00.000+00:00,,159906,159906,8.539,47.382,,1,3/7/2023,12/31/1969,Body of water
115968,ob_115968,HPAI_2023_ZH_36,Seefeld,Zürich,Body of water,1,2023-03-08T00:00:00.000+00:00,,159906,159906,8.547,47.361,,1,3/7/2023,12/31/1969,Body of water
115967,ob_115967,HPAI_2023_ZH_35,Wädenswil,Wädenswil,Body of water,1,2023-03-07T00:00:00.000+00:00,,159906,159906,8.674,47.23,,1,3/6/2023,12/31/1969,Body of water
115966,ob_115966,HPAI_2023_ZH_34,Wädenswil,Wädenswil,Body of water,1,2023-03-07T00:00:00.000+00:00,,159906,159906,8.675,47.235,,1,3/6/2023,12/31/1969,Body of water
115965,ob_115965,HPAI_2023_ZH_33,Thalwil,Thalwil,Other,1,2023-03-07T00:00:00.000+00:00,,159906,159906,8.572,47.291,,1,3/6/2023,12/31/1969,Other
115964,ob_115964,HPAI_2023_ZH_32,Zürichsee,Rüschlikon,Body of water,1,2023-03-07T00:00:00.000+00:00,,159906,159906,8.571,47.308,,1,3/6/2023,12/31/1969,Body of water
115963,ob_115963,HPAI_2023_ZH_31,Zürichsee,Küsnacht,Body of water,1,2023-03-07T00:00:00.000+00:00,,159906,159906,8.577,47.316,,1,3/6/2023,12/31/1969,Body of water
115961,ob_115961,HPAI_2023_NE_3,Neuenburgersee,Lac de Neuchâtel,Body of water,1,2023-03-07T00:00:00.000+00:00,,159906,159906,6.952,46.996,,1,3/6/2023,12/31/1969,Body of water
