location,longitude,latitude,start,end,epiUnit,eventID,animal type,outbreakNumber,species,death,cases
Tázlár,19.472723,46.56342,11/22/2022,12/7/2022,Farm,4693,domestic,109982,Birds,0,0
Csólyospálos,19.8473,46.44253,11/22/2022,11/23/2022,Farm,4693,domestic,109888,Birds,0,0
Bócsa,19.536336,46.618622,11/23/2022,11/24/2022,Farm,4693,domestic,109514,Birds,86,86
Kiskunmajsa,19.700779,46.543879,11/23/2022,11/26/2022,Farm,4693,domestic,109513,Birds,198,198
Kiskunmajsa,19.70254,46.545107,11/23/2022,11/25/2022,Farm,4693,domestic,109512,Birds,114,114
Kiskunmajsa,19.644402,46.532441,11/23/2022,11/26/2022,Farm,4693,domestic,109511,Birds,140,140
Kiskunmajsa,19.725265,46.520024,11/23/2022,11/26/2022,Farm,4693,domestic,109510,Birds,165,165
Kiskunmajsa,19.727489,46.537062,11/22/2022,11/24/2022,Farm,4693,domestic,109509,Birds,105,105
Orgovány,19.458284,46.735284,11/22/2022,11/24/2022,Farm,4693,domestic,109508,Birds,5,5
Csólyospálos,19.844208,46.442671,11/21/2022,11/26/2022,Farm,4693,domestic,109507,Birds,0,0
Kiskunmajsa,19.693469,46.484707,11/21/2022,11/26/2022,Farm,4693,domestic,109506,Birds,0,0
Kömpöc,19.874751,46.449825,11/21/2022,11/26/2022,Farm,4693,domestic,109505,Birds,0,0
Kiskunmajsa,19.687294,46.499678,11/21/2022,11/24/2022,Farm,4693,domestic,109504,Birds,55,55
Kiskunmajsa,19.676447,46.485781,11/20/2022,11/24/2022,Farm,4693,domestic,109503,Birds,0,0
Kiskunmajsa,19.69042,46.493138,11/20/2022,11/25/2022,Farm,4693,domestic,109502,Birds,0,0
Kiskunmajsa,19.726186,46.511456,11/19/2022,11/22/2022,Farm,4693,domestic,109206,Birds,118,118
Harkakötöny,19.62088,46.45707,11/20/2022,11/22/2022,Farm,4693,domestic,109205,Birds,39,39
Szank,19.683815,46.559267,11/19/2022,11/22/2022,Farm,4693,domestic,109204,Birds,26,26
Csólyospálos,19.862,46.3873,11/19/2022,11/22/2022,Farm,4693,domestic,109203,Birds,0,0
Kiskunmajsa,19.68988,46.49169,11/18/2022,11/22/2022,Farm,4693,domestic,109202,Birds,466,466
Kiskunmajsa,19.646619,46.540082,11/18/2022,11/23/2022,Farm,4693,domestic,109201,Birds,0,0
Kiskunmajsa,19.753716,46.465166,11/18/2022,11/22/2022,Farm,4693,domestic,109200,Birds,68,68
Bócsa,19.49705,46.673759,11/19/2022,11/22/2022,Farm,4693,domestic,109199,Birds,0,0
Bócsa,19.54551,46.61693,11/14/2022,11/17/2022,Farm,4693,domestic,109198,Birds,0,0
Kiskunmajsa,19.678431,46.517887,11/14/2022,11/16/2022,Farm,4693,domestic,109197,Birds,27,27
Kiskunmajsa,19.78125,46.49436,11/16/2022,11/19/2022,Farm,4693,domestic,109196,Birds,0,0
Bócsa,19.532421,46.641252,11/15/2022,11/17/2022,Farm,4693,domestic,109195,Birds,27,27
Bócsa,19.524528,46.640484,11/15/2022,11/17/2022,Farm,4693,domestic,109194,Birds,14,14
Szank,19.692088,46.569793,11/15/2022,11/17/2022,Farm,4693,domestic,109192,Birds,333,333
Bugac,19.68128,46.6956,11/14/2022,11/16/2022,Farm,4693,domestic,109190,Birds,56,56
Bócsa,19.51327,46.645837,11/14/2022,11/17/2022,Farm,4693,domestic,109189,Birds,52,52
Bócsa,19.53663,46.63089,11/10/2022,11/15/2022,Farm,4693,domestic,108861,Birds,0,0
Bócsa,19.537992,46.62291,11/11/2022,11/15/2022,Farm,4693,domestic,108863,Birds,0,0
Bócsa,19.537445,46.61957,11/9/2022,11/15/2022,Farm,4693,domestic,108862,Birds,300,300
Bugac,19.661755,46.68631,11/8/2022,11/9/2022,Farm,4693,domestic,108860,Birds,221,221
Bócsa,19.545777,46.62641,11/7/2022,11/15/2022,Farm,4693,domestic,108859,Birds,0,0
Kiksunmajsa,19.741665,46.54423,11/5/2022,11/9/2022,Farm,4693,domestic,108858,Birds,0,0
Bugac,19.663134,46.67918,11/3/2022,11/9/2022,Farm,4693,domestic,108857,Birds,682,682
Bócsa,19.536083,46.62731,11/2/2022,11/4/2022,Farm,4693,domestic,108809,Birds,49,49
Kiskunmajsa,19.77264,46.4899,11/2/2022,11/5/2022,Farm,4693,domestic,108547,Birds,20,20
Bugac,19.65301,46.6784,11/2/2022,11/3/2022,Farm,4693,domestic,108540,Birds,76,76
