isWild,speciesId,speciesName,susceptible,cases,deaths,killed,slaughtered,vaccinated,species,country
true,5207,Andean Condor,3,2,2,0,0,0,Andean Condor,Cuba
false,704,Birds,25,0,0,14,0,0,Birds,Cuba
