location,longitude,latitude,start,end,epiUnit
Ontario - mammals,-79.3751,43.6497,4/2/2022,12/30/2022,Not applicable
Prince Edward Island - mammals,-63.11,46.25,11/14/2022,12/30/2022,Not applicable
Prince Edward Island -  mammals 2023,-63.11,46.25,12/31/2022,12/31/1969,Not applicable
Ontario - mammals 2023,-79.3751,43.6497,12/31/2022,12/31/1969,Not applicable
Québec - mammals,-71.2183,46.8138,5/29/2022,12/30/2022,Not applicable
Saskatchewan - mammals,-104.62,50.43,10/16/2022,12/30/2022,Not applicable
Nova Scotia - mammals,-63.5764,44.6466,6/27/2022,12/30/2022,Not applicable
Manitoba - mammals,-97.14,49.91,11/13/2022,12/30/2022,Not applicable
Alberta - mammals,-113.4905,53.5373,5/10/2022,12/30/2022,Not applicable
Yukon - mammals,-135.03,60.72,5/20/2022,12/30/2022,Not applicable
Bas-St-Laurent,-68.23,48.61,6/6/2022,6/21/2022,Not applicable
Gaspésie–Îles-de-la-Madeleine,-61.81,47.4,6/12/2022,6/12/2022,Not applicable
Cariboo Regional District,-121.13,51.45,5/26/2022,5/26/2022,Not applicable
Southern Ontario (Wellington),-80.16,43.66,5/9/2022,5/9/2022,Not applicable
Central Ontario (Simcoe),-79.25,44.52,4/26/2022,5/22/2022,Not applicable
Southern Ontario (Waterloo),-80.4,43.5,4/24/2022,5/6/2022,Not applicable
Southern Ontario (Grey),-80.7,44.3,4/13/2022,4/13/2022,Not applicable
 North Okanagan Regional District,-119.28,50.2,5/17/2022,5/17/2022,Not applicable
Central Nova Scotia,-63.1424,44.8212,5/8/2022,5/8/2022,Not applicable
Eastern PEI,-62.5474,46.2778,5/17/2022,5/17/2022,Not applicable
Central PEI,-63.212,46.2867,5/15/2022,5/16/2022,Not applicable
Strathmore,-113.38,51.03,4/25/2022,4/25/2022,Not applicable
Minburn County,-112.16,53.49,4/21/2022,4/21/2022,Not applicable
Prairie Mountain Health Region,-100.15,51.35,5/10/2022,5/10/2022,Not applicable
Fraser-Fort George Regional District,-122.77,53.9,5/7/2022,5/16/2022,Not applicable
Southern Health Region,-97.36,49.36,5/7/2022,5/7/2022,Not applicable
Southern Ontario (York),-79.5,43.86,4/14/2022,4/14/2022,Not applicable
Prairie Mountain Health Authority,-99.46,50.24,4/27/2022,4/27/2022,Not applicable
Southern Ontario,-81.14,43.27,4/11/2022,4/11/2022,Not applicable
