location,longitude,latitude,start,end,epiUnit
Big Horn County,-108.047,44.488,2/2/2023,12/31/1969,Not applicable
Salt Lake County,-111.887,40.76,2/8/2023,12/31/1969,Not applicable
Tompkins County,-76.499,42.442,2/19/2023,12/31/1969,Not applicable
Larimer County,-105.081,40.588,2/20/2023,12/31/1969,Not applicable
Natrona County,-106.326,42.852,2/2/2023,12/31/1969,Not applicable
Jefferson County,-105.202,39.728,2/13/2023,12/31/1969,Not applicable
Grand County,-106.109,40.072,2/12/2023,12/31/1969,Not applicable
Winnebago County,-88.538,44.018,10/31/2022,12/31/1969,Not applicable
Sanders County,-115.35,47.595,2/8/2023,12/31/1969,Not applicable
Rawlins County,-101.04,39.808,1/26/2023,12/31/1969,Not applicable
El Paso County,-104.826,38.83,2/6/2023,12/31/1969,Not applicable
Boulder County,-105.278,40.019,1/24/2023,12/31/1969,Not applicable
Gunnison County,-106.919,38.552,2/1/2023,12/31/1969,Not applicable
Alamosa County,-105.878,37.446,12/26/2022,12/31/1969,Not applicable
Pueblo County,-104.611,38.276,1/23/2023,12/31/1969,Not applicable
Huerfano County,-104.776,37.621,10/7/2022,12/31/1969,Not applicable
Gunnison County,-106.92,38.543,1/13/2023,12/31/1969,Not applicable
Madison County,-111.774,43.823,9/19/2022,12/31/1969,Not applicable
Hyde County,-76.318,35.42,12/25/2022,12/31/1969,Not applicable
Crook County,-120.844,44.303,1/22/2023,12/31/1969,Not applicable
Butte County,-121.573,39.524,12/26/2022,12/31/1969,Not applicable
Hot Springs County,-108.208,43.647,1/7/2023,12/31/1969,Not applicable
Madison County,-97.455,41.844,1/9/2023,12/31/1969,Backyard
Dane County,-89.382,43.072,1/8/2023,12/31/1969,Not applicable
Spokane County,-117.429,47.666,1/10/2023,12/31/1969,Not applicable
Flathead County,-114.31,48.188,12/15/2022,12/31/1969,Not applicable
Cascade County,-111.3,47.508,12/15/2022,12/31/1969,Not applicable
Teton County,-112.182,47.811,10/28/2022,12/31/1969,Not applicable
Spink County,-98.514,44.875,12/6/2022,12/31/1969,Not applicable
Linn County,-123.106,44.634,12/15/2022,12/31/1969,Backyard
Curry County,-124.42,42.417,12/18/2022,12/31/1969,Not applicable
Nebraska,-96.663,40.833,4/19/2022,12/31/1969,Zoo
Island County,-122.686,48.217,12/6/2022,12/31/1969,Not applicable
Madison County,-111.944,45.294,12/1/2022,12/31/1969,Not applicable
Kodiak Island,-152.404,57.788,11/28/2022,12/31/1969,Not applicable
Columbia County,-122.814,45.855,11/27/2022,12/31/1969,Not applicable
Nome,-165.422,64.53,6/12/2022,12/31/1969,Not applicable
Hoonah-Angoon Census Area,-135.44,58.11,11/20/2022,12/31/1969,Other
Douglas County,-92.098,46.721,11/15/2022,12/31/1969,Other
Jefferson County,-111.913,43.67,11/4/2022,12/31/1969,Other
Dixie County,-83.114,29.628,3/29/2022,12/31/1969,Not applicable
Itasca County,-93.526,47.237,10/21/2022,12/31/1969,Not applicable
Weld County,-104.693,40.425,10/17/2022,12/31/1969,Not applicable
Gallatin County,-111.032,45.694,10/20/2022,12/31/1969,Not applicable
Tompkins County,-76.501,42.455,10/20/2022,12/31/1969,Not applicable
Cook County,-87.646,41.876,10/4/2022,12/31/1969,Not applicable
New York,-76.464,42.447,9/17/2022,12/31/1969,Other
Cayuga County,-76.541,42.904,9/19/2022,12/31/1969,Not applicable
Bay County,-83.899,43.597,5/14/2022,12/31/1969,Not applicable
Bay County,-83.86,43.596,5/17/2022,12/31/1969,Not applicable
Wexford County,-85.37,44.252,5/2/2022,12/31/1969,Not applicable
Stevens County,-117.905,48.457,6/28/2022,12/31/1969,Not applicable
York County,-70.724,43.499,7/12/2022,12/31/1969,Not applicable
