location,longitude,latitude,start,end,epiUnit
 Peyrecave (32314) ,0.80534416,43.987776,2/21/2023,12/31/1969,Farm
 Saint-Connan (22284) ,-3.092655,48.41938,2/20/2023,12/31/1969,Farm
 Senven-Léhart (22335) ,-3.067383,48.438304,2/21/2023,12/31/1969,Farm
 Saint-Péver (22322) ,-3.082941,48.466678,2/21/2023,12/31/1969,Farm
 Saint-Péver (22322) ,-3.066973,48.467698,2/21/2023,12/31/1969,Farm
 Saint-Gilles-Pligeaux (22294) ,-3.10544646,48.368249,2/17/2023,12/31/1969,Farm
 Mansonville (82102) ,0.83799003,44.006705,2/15/2023,12/31/1969,Farm
Saint-Péver (22322),-3.075047,48.465314,2/16/2023,12/31/1969,Farm
Saint-Connan (22284),-3.03778295,48.415811,2/15/2023,12/31/1969,Farm
 Senven-Léhart (22335) ,-3.0763,48.43652,2/19/2023,12/31/1969,Farm
 Saint-Connan (22284) ,-3.0588116,48.404093,2/13/2023,12/31/1969,Farm
 Le Doulieu (59180) ,2.709029,50.670097,11/11/2022,12/19/2022,Farm
 Loiré (49178) ,-1.0014088,47.63114,1/16/2023,12/31/1969,Farm
 Savigny (69175) ,4.576871,45.824052,12/15/2022,1/25/2023,Farm
 Bordes (65101) ,0.2209697,43.187324,12/20/2022,1/26/2023,Farm
Hillion (22081),-2.67336042,48.50532,10/28/2022,12/7/2022,Farm
Mérillac (22148),-2.40171127,48.25214,10/23/2022,12/5/2022,Farm
 Saint-Connan (22284) ,3.061058,48.411866,2/7/2023,12/31/1969,Farm
 Saint-Connan (22284) ,-3.09552243,48.41015,2/8/2023,12/31/1969,Farm
 Saint-Péver (22322) ,-3.073794,48.469278,2/12/2023,12/31/1969,Farm
76255 - EU,1.44352,50.03195,9/12/2022,10/16/2022,Farm
 Saint-Geniès (24412) Type *,1.266666,44.988417,12/13/2022,2/3/2023,Farm
Saint-Geniès (24412),1.303017,44.982774,12/8/2022,2/3/2023,Farm
Saint-Geniès (24412),1.251399,44.975605,12/8/2022,2/3/2023,Farm
Saint-Geniès (24412),1.2932372,44.97535,12/4/2022,2/3/2023,Farm
 Saint-Geniès (24412) ,1.291367,44.981655,12/1/2022,2/3/2023,Farm
Saint-Geniès (24412),1.2633453,44.976541,12/1/2022,2/3/2023,Farm
 Saint-Connan (22284) ,-3.05307679,48.415148,2/6/2023,12/31/1969,Farm
 Saint-Connan (22284) ,-3.08991969,48.408156,2/5/2023,12/31/1969,Farm
 Saint-Bihy (22276) ,-2.955358,48.38075,2/5/2023,12/31/1969,Farm
 Saint-Gilles-Pligeaux (22294) ,-3.084100331,48.39047,2/5/2023,12/31/1969,Farm
 Saint-Fiacre (22289) ,-3.03937226,48.46223,2/3/2023,12/31/1969,Farm
Prat (22254),-3.31673,48.673643,1/30/2023,12/31/1969,Farm
 Saint-Connan (22284) ,-3.10194,48.405573,1/29/2023,12/31/1969,Farm
 Cagnotte (40059) ,-1.079043,43.601672,1/23/2023,12/31/1969,Farm
 Cagnotte (40059) ,-1.077537,43.601348,1/23/2023,12/31/1969,Farm
 Illies (59320) ,2.82214049,50.58288,11/16/2022,1/19/2023,Farm
 Type *,-0.0315339,43.8631,1/20/2023,12/31/1969,Farm
 Cagnotte (40059) ,-1.0870119,43.58879,1/19/2023,12/31/1969,Farm
 La Tardière (85289) ,-0.7526725,46.67428,1/15/2023,12/31/1969,Farm
 La Chevrolière (44041) ,-1.592295,47.07703,1/15/2023,12/31/1969,Farm
 Manciet (32227) ,0.0923673,43.81115,1/17/2023,12/31/1969,Farm
 Ramouzens (32338) ,0.22107036,43.81285,1/16/2023,12/31/1969,Farm
 Eauze (32119) ,0.04661876,43.852876,1/16/2023,12/31/1969,Farm
 Laujuzan (32202) ,-0.1252465,43.81262,1/16/2023,12/31/1969,Farm
 Manciet (32227) ,0.07356619,43.81563,1/16/2023,12/31/1969,Farm
Meurcé (72194),0.205041,48.248304,12/14/2022,1/18/2023,Farm
 Moréac (56140) ,-2.754317,47.950352,11/18/2022,1/11/2023,Farm
 Lantillac (56103) ,-2.65674822,47.94628,11/23/2022,1/11/2023,Farm
 Lantillac (56103) ,-2.64705474,47.95661,11/23/2022,1/11/2023,Farm
 Moréac (56140) ,-2.77387727,47.96324,11/17/2022,1/11/2023,Farm
 Moréac (56140) ,-2.79707046,47.95454,11/11/2022,1/11/2023,Farm
 Montret (71319) ,5.10130352,46.662143,12/1/2022,1/4/2023,Farm
 Orée d'Anjou (49069) ,-1.1213245,47.32771,1/12/2023,12/31/1969,Farm
 Vritz (44219) ,-1.1089628,47.615193,1/8/2023,12/31/1969,Farm
 Saint-Mesmin (85254) ,-0.7205531,46.81529,1/10/2023,12/31/1969,Farm
 Pamproux (79201) ,-0.062484,46.39956,1/9/2023,12/31/1969,Farm
 Sèvremont (85090) ,-0.8150799,46.83928,1/8/2023,12/31/1969,Farm
 Cheffois (85067) ,-0.75703502,46.68585,1/8/2023,12/31/1969,Farm
 Orée d'Anjou (49069) ,-1.241076,47.27328,1/7/2023,12/31/1969,Farm
 La Limouzinière (44083) ,-1.6251845,46.979338,1/5/2023,12/31/1969,Farm
 Fustérouau (32135) ,0.006091,43.675551,1/4/2023,12/31/1969,Farm
 Aignan (32001) ,0.0493813,43.6861,1/2/2023,12/31/1969,Farm
