location,longitude,latitude,start,end,epiUnit
Parque Nacional Natural Gorgona,-78.1731,2.96573,2/17/2023,12/31/1969,Natural park
Villa Blanca,-77.41722,1.34066,2/4/2023,12/31/1969,Backyard
Mercado Potrerillo,-77.27112,1.19676,2/12/2023,12/31/1969,Backyard
Zoraida,-77.39677,1.34117,2/19/2023,12/31/1969,Backyard
Traspatio G O,-77.39033,1.32944,2/14/2023,12/31/1969,Backyard
El Modesto,-77.39661,1.34038,2/14/2023,12/31/1969,Backyard
Traspatio A S,-75.7422,8.9624,11/10/2022,2/22/2023,Backyard
La Milagrosa,-75.72911,8.89376,11/12/2022,2/22/2023,Backyard
Traspatio N,-75.89163,9.29538,11/24/2022,2/22/2023,Backyard
Traspatio A P,-75.7747,8.9833,11/25/2022,2/22/2023,Backyard
Traspatio J H,-75.78221,8.97201,11/25/2022,2/22/2023,Backyard
Traspatio D L,-75.7432,8.9622,11/22/2022,2/22/2023,Backyard
La Familia,-75.887126,9.304113,11/13/2022,2/22/2023,Backyard
San Miguel,-75.7613,8.9624,11/23/2022,2/22/2023,Backyard
La Caimanera,-75.7406,9.0279,11/9/2022,2/22/2023,Backyard
Los Laureles,-75.7333,9.02036,11/25/2022,2/22/2023,Backyard
Traspatio N G,-75.82981,9.0386,12/2/2022,2/22/2023,Backyard
Traspatio G 12,-76.10431,9.20243,12/3/2022,2/22/2023,Backyard
Traspatio V M,-75.7742,8.92001,12/2/2022,2/22/2023,Backyard
Traspatio A G,-75.74728,8.94096,11/29/2022,2/22/2023,Backyard
Traspatio A M,-75.8619,9.3021,11/27/2022,2/22/2023,Backyard
Traspatio I A,-75.7399,8.9557,11/28/2022,2/22/2023,Backyard
Traspatio S 1,-75.93485,9.31407,11/14/2022,2/22/2023,Backyard
Traspatio W R,-75.7406,8.9611,11/12/2022,2/22/2023,Backyard
Traspatio M,-75.8925,9.295703,11/23/2022,2/22/2023,Backyard
Traspatio R D,-75.75253,8.9419,11/1/2022,2/22/2023,Backyard
Traspatio Angel de la Rosa,-75.69858,8.9448,12/7/2022,2/22/2023,Backyard
Traspatio Leonar,-75.82724,9.04095,12/8/2022,2/27/2023,Backyard
Los 4 Hermanos,-74.60512,8.454,12/7/2022,2/6/2023,Backyard
Villa Laura,-75.4059,9.41491,11/6/2022,2/6/2023,Backyard
Villa Truco,-75.252711,9.375136,10/31/2022,2/6/2023,Backyard
Tienda El Milagroso,-75.16732,9.42736,11/1/2022,2/6/2023,Backyard
Villa Mery,-74.56898,8.46374,12/10/2022,2/6/2023,Backyard
El Zanjón,-77.3905,1.34501,2/7/2023,12/31/1969,Backyard
La Sonrisa,-74.21695,10.562725,11/1/2022,1/19/2023,Backyard
Casa Finca Evelia,-75.34673,10.65905,11/9/2022,1/19/2023,Backyard
Canaima,-75.3382,10.6769,11/1/2022,1/19/2023,Backyard
San Javier,-75.37427,10.65949,11/11/2022,1/19/2023,Backyard
Parcela Yopal,-75.37373,10.659063,11/2/2022,1/19/2023,Backyard
Reserva El Tamarindo,-75.41538,10.63467,10/28/2022,1/19/2023,Backyard
Casa Habitación,-77.27843,8.512637,10/26/2022,1/17/2023,Backyard
Calle Nueva,-77.27798,8.512766,10/25/2022,1/17/2023,Backyard
Predio Los Dos Hermanos,-77.33544,8.542485,10/4/2022,1/17/2023,Farm
La Granja,-77.337714,8.54543,10/21/2022,1/17/2023,Farm
Casa Blanca,-77.32928,8.537393,10/18/2022,1/17/2023,Farm
Parcela Franklyn,-77.3341,8.543815,10/21/2022,1/17/2023,Farm
Predio Hermanos Díaz,-77.33583,8.543415,10/2/2022,1/17/2023,Farm
La Esperanza 1,-77.5535,1.7123,1/25/2023,12/31/1969,Backyard
