location,longitude,latitude,start,end,epiUnit
Myross Island,-9.136529,51.531386,9/6/2022,11/17/2022,Not applicable
Sutton,-6.121,53.39,9/7/2022,11/17/2022,Not applicable
Garryvoe,-8.00273,51.85744,9/7/2022,11/17/2022,Not applicable
Garryvoe,-8.00366,51.8579,9/5/2022,11/17/2022,Not applicable
Kinsale,-8.5118,51.699,9/5/2022,11/17/2022,Not applicable
Dundalk,-6.373008,53.973316,9/5/2022,11/17/2022,Not applicable
Fountainstown beach,-8.31,51.77,9/5/2022,11/17/2022,Not applicable
Donabate,-6.119565,53.474933,9/4/2022,11/17/2022,Not applicable
Eskavaud beach,-10.09,51.67,8/28/2022,11/17/2022,Not applicable
Roxtown,-7.476737,55.260494,8/22/2022,11/17/2022,Not applicable
Rush & Balbriggan,-6.1097,53.524,9/7/2022,11/17/2022,Not applicable
Reenroe Ballinskellig,-10.2,51.84,8/25/2022,11/17/2022,Not applicable
Belmullet,-10.08,54.26,8/28/2022,11/17/2022,Not applicable
Inch beach,-9.97,52.138501,8/23/2022,11/17/2022,Not applicable
Achill,-10.05024,53.96436,8/23/2022,11/17/2022,Not applicable
Mulranny beach,-9.822425,53.87605,8/21/2022,11/17/2022,Not applicable
Killala,-9.198095,54.23289,8/21/2022,11/17/2022,Not applicable
Killala,-9.198095,54.23289,8/16/2022,11/17/2022,Not applicable
Waterville,-10.1725,51.8263,8/4/2022,11/17/2022,Not applicable
Portmagee,-10.36198,51.885,7/31/2022,11/17/2022,Not applicable
Belmullet,-9.99565,54.23742,8/4/2022,11/17/2022,Not applicable
Mulranny beach,-9.78269,53.90655,8/4/2022,11/17/2022,Not applicable
Greencastle,-6.9591,55.21,7/11/2022,11/17/2022,Not applicable
Ballinskellig,-10.271874,51.82431,9/5/2022,11/17/2022,Not applicable
Skellig Michael,-10.5404,51.77089,7/3/2022,11/17/2022,Not applicable
Galty cove,-9.743,51.46,9/5/2022,11/17/2022,Not applicable
53.749767  -6.245390,-6.25,53.75,9/7/2022,11/17/2022,Not applicable
Youghal,-7.907249,51.944288,9/7/2022,11/17/2022,Not applicable
Clonea beach,-7.5421,52.0967,9/6/2022,11/17/2022,Not applicable
Garrettstown,-8.586065,51.644978,9/6/2022,11/17/2022,Not applicable
St Finians bay,-10.3358,51.846,9/5/2022,11/17/2022,Not applicable
Courtmacsharry,-8.685544,51.636519,9/6/2022,11/17/2022,Not applicable
Barrack hill Ballycotton,-8.013362,51.829947,9/7/2022,11/17/2022,Not applicable
Gortnadiha Ring,-7.6184,52.0528,9/6/2022,11/17/2022,Not applicable
Ballyquin strand,-7.7024,51.9713,9/6/2022,11/17/2022,Not applicable
Benvoy beach,-7.141444,52.159592,9/7/2022,11/17/2022,Not applicable
Tramore,-7.149,52.16,9/6/2022,11/17/2022,Not applicable
Myrtleville beach ,-8.29513,51.78344,9/7/2022,11/17/2022,Not applicable
Inchydoney beach,-8.857753,51.597869,9/6/2022,11/17/2022,Not applicable
Sutton,-6.11,53.39,10/9/2022,11/17/2022,Backyard
Greystones,-6.056,53.1185,10/16/2022,11/17/2022,Farm
Killykeen ,-7.47179,54.0083,10/23/2022,11/17/2022,Forest
Meath,-6.5735,53.685,11/5/2022,11/17/2022,Not applicable
