location,longitude,latitude,start,end,epiUnit
Stolwijk,4.79977,51.9642,11/19/2022,12/31/1969,Farm
Nijkerk,5.61729,52.20236,1/25/2023,12/31/1969,Farm
Abbega,5.56719,53.02227,1/24/2023,12/31/1969,Farm
Loo ,6,51.94,1/17/2023,12/31/1969,Farm
Koudum,5.46316,52.91573,11/19/2022,12/31/1969,Farm
Oostrum Lb,6.04366,51.53157,11/17/2022,12/31/1969,Farm
Uden,5.58827,51.64059,11/8/2022,12/31/1969,Farm
Ospel,5.80845,51.29723,10/30/2022,12/31/1969,Farm
Oudwoude,6.11708,53.29534,10/29/2022,12/31/1969,Farm
Neerkant,5.86846,51.36064,10/25/2022,12/31/1969,Farm
Hedel,5.25392,51.76073,10/20/2022,12/31/1969,Farm
Lunteren,5.56306,52.09753,10/19/2022,12/31/1969,Farm
Heythuysen,5.86189,51.28102,10/18/2022,12/31/1969,Farm
Ospel,5.77436,51.28743,10/14/2022,12/31/1969,Farm
Blija,5.88666,53.33471,10/13/2022,12/31/1969,Farm
Nieuwleusen,6.27401,52.57274,10/12/2022,12/31/1969,Farm
Bodegraven,4.75432,52.10334,10/9/2022,12/31/1969,Farm
Waddinxveen,4.66481,52.02807,10/8/2022,12/31/1969,Farm
Wildervank,6.89032,53.062,10/6/2022,12/31/1969,Farm
Wildervank ,6.88344,53.0542,10/3/2022,12/31/1969,Farm
Klarenbeek,6.07502,52.14883,10/1/2022,12/31/1969,Farm
Nieuwe Weerdinge,7.00136,52.86442,10/9/2022,12/31/1969,Farm
Wildervank I,6.88196,53.05544,9/28/2022,12/31/1969,Farm
Zuidwolde,6.59987,53.26636,9/29/2022,12/31/1969,Farm
Kiel Windeweer,6.75339,53.1163,10/3/2022,12/31/1969,Farm
Oldekerk,6.33629,53.25065,9/17/2022,12/31/1969,Farm
Schuinesloot,6.57665,52.65704,9/16/2022,12/31/1969,Farm
Tjerkgaast,5.67399,52.92742,9/15/2022,12/31/1969,Farm
de Krim,6.59576,52.64419,9/7/2022,12/31/1969,Farm
Barneveld,5.598911,52.1420635,9/5/2022,12/31/1969,Farm
Ried,5.58397,53.21831,9/1/2022,12/31/1969,Farm
Barneveld,5.63505,52.1597,8/31/2022,12/31/1969,Farm
Blija,5.88817,53.33674,8/31/2022,12/31/1969,Farm
Lunteren,5.63984,52.12358,8/16/2022,12/31/1969,Farm
Maurik,5.39922,51.94954,8/16/2022,12/31/1969,Farm
Schore,3.99376,51.45825,8/15/2022,12/31/1969,Farm
Lunteren,5.65878,52.12348,8/12/2022,12/31/1969,Farm
Dalfsen,6.26528,52.5289,7/31/2022,12/31/1969,Farm
Dalfsen,6.32645,52.55373,7/30/2022,12/31/1969,Farm
Dalfsen,6.287,52.539,7/26/2022,12/31/1969,Farm
Minnerstga,5.584,53.257,7/25/2022,12/31/1969,Farm
Biddinghuizen,5.66,52.42,6/16/2022,12/31/1969,Farm
