location,longitude,latitude,start,end,epiUnit
Bingham County,-112.346,43.194,2/26/2023,12/31/1969,Backyard
Logan County,-86.89,36.845,10/2/2022,2/10/2023,Backyard
Gloucester County,-76.525,37.399,11/2/2022,3/5/2023,Backyard
Portage County,-81.22,41.157,9/27/2022,3/5/2023,Backyard
Middlesex County,-71.142,42.398,10/25/2022,3/5/2023,Backyard
Snohomish County,-122.187,47.982,10/30/2022,3/5/2023,Backyard
Douglas County,-119.765,38.956,2/27/2023,12/31/1969,Backyard
Rockingham County,-78.989,38.384,3/2/2023,12/31/1969,Backyard
District of Columbia,-77.012,38.875,10/18/2022,12/31/1969,Not applicable
Caroline County,-77.352,38.041,8/25/2022,3/2/2023,Other
Lancaster County,-76.3011,40.0178,9/21/2022,2/28/2023,Backyard
Fremont County,-108.724,42.831,10/7/2022,2/8/2023,Backyard
Allegheny County,-80.009,40.44,10/30/2022,3/3/2023,Backyard
Hampton County,-76.395,37.04,10/1/2022,2/1/2023,Backyard
Virginia Beach,-75.984,36.858,10/18/2022,3/1/2023,Backyard
Southampton County,-77.069,36.718,10/16/2022,3/2/2023,Backyard
Pasco County,-82.186,28.369,10/12/2022,3/1/2023,Backyard
Bergen County,-74.03,40.903,10/25/2022,3/2/2023,Backyard
Kent County,-75.522,39.168,9/19/2022,2/27/2023,Backyard
Kent County,-75.53,39.175,9/16/2022,2/27/2023,Backyard
Dallas County,-96.796,32.756,9/15/2022,2/28/2023,Backyard
Calaveras County,-120.674,38.189,9/8/2022,2/27/2023,Backyard
Ocean County,-74.206,39.964,10/19/2022,2/21/2023,Other
Tipton County,-89.649,35.565,10/21/2022,2/28/2023,Backyard
Allen County,-84.097,40.749,9/6/2022,2/20/2023,Backyard
Osceola County,-81.396,28.293,10/7/2022,2/27/2023,Backyard
Indian River County,-80.43,27.639,10/9/2022,2/26/2023,Backyard
Caribou County,-111.573,42.671,4/10/2022,10/25/2022,Backyard
Hamlin County,-97.207,44.657,10/5/2022,2/26/2023,Backyard
Saint Lucie County,-80.35,27.447,10/5/2022,2/21/2023,Backyard
Valley County,-116.053,44.52,9/20/2022,2/22/2023,Backyard
Rockwall County,-96.433,32.916,10/16/2022,2/16/2023,Backyard
Itasca County,-93.528,47.236,10/14/2022,2/19/2023,Backyard
La Plata County,-107.869,37.278,10/17/2022,2/20/2023,Backyard
Louisa County,-91.186,41.179,10/25/2022,2/25/2023,Backyard
Kingsbury County,-97.551,44.3832,9/18/2022,2/22/2023,Backyard
Nelson County,-98.336,48.036,9/15/2022,2/26/2023,Backyard
Moffat County,-107.55,40.514,2/17/2023,12/31/1969,Backyard
Cleveland County,-97.424,35.233,10/14/2022,2/19/2023,Backyard
Macomb County,-82.881,42.597,9/11/2022,2/14/2023,Backyard
Fresno County,-119.785,36.717,9/10/2022,2/21/2023,Backyard
Warren County,-75.076,40.827,10/8/2022,2/12/2023,Backyard
Indian River County,-80.397,27.64,10/12/2022,2/21/2023,Backyard
Lake County,-81.733,28.81,10/15/2022,2/19/2023,Backyard
Martin County,-80.253,27.191,10/16/2022,2/21/2023,Backyard
Cass County,-96.84,46.878,8/27/2022,1/31/2023,Backyard
Newport County,-71.291,41.506,10/15/2022,2/20/2023,Other
San Joaquin County,-121.264,37.95,2/13/2022,12/31/1969,Backyard
Napa County,-122.284,38.3,1/24/2023,12/31/1969,Not applicable
Monterey County,-121.655,36.678,1/24/2023,12/31/1969,Not applicable
Creek County,-96.092,36.029,10/11/2022,2/15/2023,Backyard
Weber County,-111.994,41.234,8/20/2022,1/19/2023,Backyard
Monroe County,-75.192,40.983,9/28/2022,2/16/2023,Backyard
Bernalillo County,-106.677,35.145,9/30/2022,2/2/2023,Backyard
Broward County,-80.134,26.081,10/2/2022,2/5/2023,Backyard
Martin County,-80.253,27.176,10/1/2022,2/5/2023,Backyard
Jackson County,-94.416,39.092,10/5/2022,2/14/2023,Backyard
Dallas County,-94.018,41.614,10/18/2022,11/13/2022,Backyard
Ashland County,-82.305,40.891,7/31/2022,2/13/2023,Backyard
El Dorado County,-120.805,38.728,9/3/2022,2/14/2023,Backyard
Williams County,-84.551,41.474,9/2/2022,2/11/2023,Backyard
Pierce County,-122.432,47.233,9/8/2022,2/13/2023,Backyard
Bristol County,-71.093,41.902,9/10/2022,2/16/2023,Backyard
Summit County,-81.52,41.083,9/8/2022,2/13/2023,Backyard
Dawes 01,-103.018,42.828,9/11/2022,2/15/2023,Backyard
Todd County,-94.865,45.975,9/18/2022,2/18/2023,Backyard
Box Butte County,-102.859,42.098,9/29/2022,2/15/2023,Backyard
Weld County,-104.68,40.393,9/30/2022,2/11/2023,Backyard
Tulsa County,-95.979,36.143,10/9/2022,2/15/2023,Backyard
Larimer County,-105.68,40.581,10/5/2022,2/14/2023,Backyard
Indian River County,-80.389,27.632,10/12/2022,2/15/2023,Backyard
Okeechobee County,-80.83,27.244,10/13/2022,2/15/2023,Backyard
Hill County,-109.672,48.554,10/13/2022,2/18/2023,Backyard
Tioga County,-77.302,41.747,2/5/2023,12/31/1969,Backyard
Hillsborough County,-82.455,27.949,2/6/2023,12/31/1969,Backyard
Allegheny County,-79.995,40.44,1/26/2023,12/31/1969,Backyard
Rowan County,-80.471,35.668,1/19/2023,12/31/1969,Zoo
Pope County,-93.139,35.306,10/13/2022,12/31/1969,Backyard
Westmoreland County,-79.539,40.302,9/1/2022,2/13/2023,Backyard
New Haven County,-72.903,41.325,9/27/2022,2/5/2023,Backyard
Traill County,-97.338,47.498,10/9/2022,2/13/2023,Backyard
Benton County,-119.217,46.222,2/6/2023,12/31/1969,Backyard
Doniphan County,-95.089,39.786,12/30/2022,12/31/1969,Backyard
Carroll County,-93.497,39.358,2/6/2023,12/31/1969,Backyard
Twin Falls 01,-114.47,42.559,9/6/2022,2/12/2023,Backyard
La Plata County,-107.869,37.283,10/8/2022,2/9/2023,Backyard
Carson City,-119.772,39.123,6/27/2022,12/18/2022,Backyard
Goodhue County,-92.53,44.568,9/20/2022,1/30/2023,Backyard
Pope County,-95.386,45.641,9/30/2022,2/2/2023,Backyard
Genesee County,-83.58,43.01,9/29/2022,2/8/2023,Backyard
Placer County,-121.081,38.904,1/20/2023,12/31/1969,Backyard
