location,longitude,latitude,start,end,epiUnit
Naumburg (Saale),11.72,51.13,1/25/2023,12/31/1969,Zoo
Halle (Saale),11.96,51.5,1/17/2023,12/31/1969,Zoo
Bernburg (Saale),11.846,51.748,12/17/2022,12/31/1969,Backyard
Wolmirstedt,11.66,52.27,12/2/2022,1/4/2023,Backyard
Diesdorf Flecken ,10.87,52.75,12/4/2022,12/15/2022,Not applicable
Havelberg,12.088,52.824,1/9/2022,2/20/2022,Not applicable
Havelberg,12.078,52.825,1/3/2022,2/20/2022,Not applicable
Rohrberg,11.005275,52.695074,1/3/2022,1/6/2022,Not applicable
Wittenberg Lutherstadt,12.63,51.87,11/4/2021,12/9/2021,Not applicable
