location,longitude,latitude,start,end,epiUnit
Suryabinayak Municipality-8 and 9,85.44988,27.65584,3/16/2022,11/1/2022,Farm
Janakpurdham municipality-19 Dhanusha,85.93741,26.74551,3/11/2022,11/1/2022,Farm
Lalitpur Metropolitan-22 Lalitpur,85.30372,27.616601,3/16/2022,11/1/2022,Farm
Kageshwori Manohara-6 Kathmandu,85.391632,27.719708,3/2/2022,11/1/2022,Farm
Gokarneshwor-4 Kathmandu,85.39528,27.73722,3/8/2022,11/1/2022,Farm
Kageshwori Manohara Municipality-3 Kathmandu,85.42394,27.74011,3/7/2022,11/1/2022,Farm
Kageshwori Manohara Municipality-1,85.424444,27.751667,2/25/2022,11/1/2022,Farm
Godawari Municipality-12 Lalitpur,85.329178,27.613781,2/28/2022,11/1/2022,Farm
Kalaiya Submetropolitan -3 Bara,84.999555,27.042731,3/11/2022,11/1/2022,Farm
Kageshwori Manohara municipality-7 Jhingati tole Kathmandu,85.380303,27.70201,3/2/2022,11/1/2022,Farm
Melamchi Municiplaity-12 Sindhupalchok,85.57222,27.80111,3/4/2022,11/1/2022,Farm
Bharatpur Meteropolitan Chitwon,84.329679,27.577747,3/29/2022,11/1/2022,Farm
Birgunj Municipality-15 Parsa,84.9078,27.019875,2/23/2022,11/1/2022,Farm
Sankharapur-6 Kathmandu,85.46083,27.72389,3/9/2022,11/1/2022,Farm
Tarkeshwor Municipality-5 Kathmandu,85.277574,27.766208,3/11/2022,11/1/2022,Farm
Dakshikali-2 Kathmandu,85.283913,27.640049,3/2/2022,11/1/2022,Farm
Suryabinayak municipality-10,85.453245,27.662061,2/26/2022,11/1/2022,Farm
Tapli-3 Udaypur,86.560893,27.045007,2/23/2022,11/1/2022,Farm
Balephi Rural Municipality-7 Sindhupalchok,85.84083,27.75611,2/18/2022,11/1/2022,Farm
Pokhara Metropolitan-15 and 16,83.98719,28.19999,2/15/2022,11/1/2022,Farm
Khairahani municipality Jamire-1 Chitwan,84.3328,27.6353,4/28/2022,11/1/2022,Farm
Tatopani Birendranagar Municipality-3 Surkhet ,81.606676,28.594312,6/2/2022,11/1/2022,Farm
Kageshwori Manohara municipality-5 Kathmandu,85.413889,27.74222,2/17/2022,11/1/2022,Farm
Tarkeshwor municipality-7 Kathmandu,85.30923,27.76521,2/13/2022,11/1/2022,Farm
Bharatpur-8 Gauriganj Chitwon,84.42631,27.638593,2/17/2022,11/1/2022,Farm
Duhabi Municipality-3 Sonapur Sunsari,87.279209,26.597972,1/30/2022,11/1/2022,Farm
Gokarneshwor Municipality-3 Baluwa Kathmandu,85.3945,27.77049,1/25/2022,11/1/2022,Farm
Rapti Municipality-6 Beldiya Bhandara Chitwon,84.645371,27.592006,2/2/2022,11/1/2022,Farm
Tarkeshwor Municipality-1 Sanglachhap Kathmandu,85.322118,27.773862,1/29/2022,11/1/2022,Farm
Biratnagar metropolitan city-18 Morang,87.310412,26.414534,1/29/2022,11/1/2022,Farm
Lokhantari-1 Gramthan Morang,87.310412,26.518308,1/24/2022,11/1/2022,Farm
Katahari-7 Hurhuriya tole Morang,87.391801,26.509568,1/24/2022,11/1/2022,Farm
Budhiganga-5 Shishwa tole Morang,87.318507,26.576515,1/25/2022,11/1/2022,Farm
Gramthan-1 Khuniyakatta Morang,87.310642,26.521401,1/16/2022,11/1/2022,Farm
