location,longitude,latitude,start,end,epiUnit
Kiełpiny,16.050772,52.155199,3/6/2022,5/26/2022,Farm
Bolesławiec					,16.755444,52.21366,1/24/2022,5/9/2022,Farm
Reklinek,16.0094,52.1605,4/20/2022,6/6/2022,Farm
Jaromierz					,15.9597,52.0888,4/25/2022,6/13/2022,Farm
Kiełpiny,16.0514,52.1584,4/19/2022,6/8/2022,Farm
Koźlątków,18.33522,51.836291,2/13/2022,3/21/2022,Farm
Bieczyny					,16.761667,52.193889,1/26/2022,3/7/2022,Farm
Strzyżew					,17.971405,51.587231,2/18/2022,3/16/2022,Farm
Młodzianów 					,17.42809,51.5264,1/22/2022,2/24/2022,Backyard
Kiełpiny				,16.050772,52.155199,12/26/2021,2/7/2022,Farm
Kaliszkowice Ołobockie				,18.02245,51.54473,12/23/2021,1/30/2022,Farm
Kaczki Plastowe				,18.5755,51.9725,11/15/2021,12/11/2021,Farm
Wietchinin				,18.56592,51.96129,11/19/2021,12/9/2021,Farm
Giżyce				,18.1568,51.5218,12/30/2021,2/6/2022,Farm
Pawłów,17.674939,51.41871,1/8/2022,2/10/2022,Farm
Kaliszkowice Kaliskie					,18.03922,51.51914,1/8/2022,2/13/2022,Farm
Kuźnica Kącka					,17.683623,51.420889,1/11/2022,2/13/2022,Farm
Koruszka,17.2354,51.50824,12/27/2021,1/31/2022,Backyard
Murzynowo,15.4433,52.6433,11/5/2021,12/2/2021,Farm
Stary Karolew				,18.38191,51.779,11/11/2021,1/6/2022,Farm
Chodybki				,18.37041,51.79156,11/11/2021,1/6/2022,Farm
Chodybki				,18.371129,51.792696,11/14/2021,1/6/2022,Farm
Warszew				,18.281767,51.75064,11/15/2021,1/6/2022,Farm
Chodybki				,18.36958,51.80065,11/15/2021,1/6/2022,Farm
Dębsko				,18.385577,51.810975,11/16/2021,1/6/2022,Farm
Grodzisko				,16.923216,51.828378,11/16/2021,1/19/2022,Farm
Sierzchów				,18.277249,51.753102,11/17/2021,1/6/2022,Farm
Koźlątków 				,18.327261,51.826281,11/21/2021,1/6/2022,Farm
Wichertów				,18.62805,51.97018,11/25/2021,12/28/2021,Farm
Szulec				,18.257272,51.74337,11/29/2021,1/6/2022,Farm
Wichertów				,18.63187,51.97042,11/29/2021,12/28/2021,Farm
Bądków Pierwszy				,18.635472,51.961252,12/1/2021,12/30/2021,Farm
Bądków Pierwszy				,18.636502,51.96127,12/2/2021,12/30/2021,Farm
Szulec				,18.258031,51.738943,12/12/2021,1/12/2022,Farm
Barłogi				,18.759172,52.212324,12/15/2021,1/17/2022,Farm
Grabów Pustkowie				,18.073611,51.515,12/19/2021,1/24/2022,Farm
Mikołajówek				,18.6768,52.23682,12/20/2021,1/21/2022,Backyard
Rososzyca				,18.024307,51.62554,12/24/2021,1/30/2022,Farm
Szczepanów				,16.607462,51.192989,12/28/2021,1/31/2022,Farm
Strzyżew				,17.9714,51.587231,12/28/2021,1/30/2022,Farm
Palaty				,18.134,51.5059,12/26/2021,1/30/2022,Farm
Grabów Pustkowie				,18.1048,51.5087,12/21/2021,1/30/2022,Farm
Szczęście				,17.8238,51.2387,12/23/2021,1/30/2022,Farm
Smulsko				,18.64546,51.97312,11/28/2021,12/30/2021,Farm
Wichertów				,18.64369,51.97373,11/28/2021,12/30/2021,Farm
Kijewice,15.4497,52.6296,11/2/2021,12/5/2021,Farm
Wichertów				,18.644079,51.96999,11/29/2021,12/28/2021,Farm
Zawady				,18.171804,51.730973,12/4/2021,1/6/2022,Farm
