location,longitude,latitude,start,end,epiUnit
Bemin District,120.11985,23.24313,2/13/2023,12/31/1969,Farm
Fangyuan Township,120.337099,23.906699,2/1/2023,12/31/1969,Farm
Guantian District,120.368099,23.179099,2/1/2023,12/31/1969,Farm
Erlun Township,120.38462,23.78497,2/2/2023,12/31/1969,Farm
Gukeng Township,120.55792,23.665893,2/3/2023,12/31/1969,Farm
Yanpu Township,120.54079,22.73068,2/3/2023,12/31/1969,Farm
Chaozhou Township,120.543647,22.517619,2/5/2023,12/31/1969,Farm
Lukang District,120.466591,24.087278,1/23/2023,12/31/1969,Farm
Lukang Township,120.46602,24.08801,1/17/2023,12/31/1969,Farm
Liujiao Township,120.2995,23.5492,1/3/2023,12/31/1969,Farm
Jiali District,120.19519,23.20087,1/6/2023,12/31/1969,Farm
Taixi Township,120.20704,23.69453,1/2/2023,12/31/1969,Farm
Liujiao Township,120.29597,23.52397,1/2/2023,12/31/1969,Farm
Jiali Districr,120.19653,23.19091,1/2/2023,12/31/1969,Farm
Xigang District,120.19941,23.14549,1/6/2023,12/31/1969,Farm
Yanpu Townshlp,120.53999,22.73868,1/23/2023,12/31/1969,Farm
Baozhong Township,120.33445,23.70176,1/24/2023,12/31/1969,Farm
Yuanchang Township,120.313287,23.608771,12/30/2022,12/31/1969,Farm
Hemei Township,120.48105,24.1062,12/29/2022,12/31/1969,Farm
Hemei Township,120.480338,24.106733,12/29/2022,12/31/1969,Farm
Lunbei Township,120.374213,23.749446,12/26/2022,12/31/1969,Farm
Liujia District,120.33977,23.24255,12/25/2022,12/31/1969,Farm
Zhutang Township ,120.37378,23.85138,12/25/2022,12/31/1969,Farm
Xinggang Township,120.32548,23.51422,12/25/2022,12/31/1969,Farm
Fangyuan Township,120.374048,23.979742,12/24/2022,12/31/1969,Farm
Zhutang Township,120.3726,23.84764,12/15/2022,12/31/1969,Farm
Taixi Township,120.221693,23.689288,12/20/2022,12/31/1969,Farm
Erlin township ,120.398473,23.920723,12/15/2022,12/31/1969,Farm
Zhutang Township,120.37261,23.84828,12/15/2022,12/31/1969,Farm
Puxin Township,120.51684,23.97163,12/13/2022,12/31/1969,Farm
Dongshi Township,120.18725,23.50478,12/12/2022,12/31/1969,Farm
Dongshi Township,120.21322,23.50249,12/12/2022,12/31/1969,Farm
Zhutang Township,120.41545,23.88057,12/13/2022,12/31/1969,Farm
Luzhu District,120.269771,22.889272,11/23/2022,12/31/1969,Farm
Shuilin Township,120.20813,23.52427,11/27/2022,12/31/1969,Farm
Guantian District,120.34687,23.19507,11/30/2022,12/31/1969,Farm
Wujie Township,121.83235,24.67165,11/16/2022,12/31/1969,Farm
