location,longitude,latitude,start,end,epiUnit
Radensko polje,14.6846,45.9133,1/14/2022,1/18/2022,Other
Bostanj pond,14.6776,45.9278,1/17/2022,1/18/2022,Other
Skocjan,15.3352,45.8764,1/17/2022,1/18/2022,Other
Starse,15.7896,46.4435,1/19/2022,1/26/2022,Other
Starše,15.7896,46.4435,1/12/2022,1/17/2022,Other
Zlatoličje,15.7896,46.4435,1/10/2022,1/15/2022,Other
Škocjan,15.2977,45.9033,1/11/2022,1/15/2022,Other
Ptuj,15.8875,46.4116,1/9/2022,1/12/2022,Other
Pragersko ponds,15.6732,46.3789,1/9/2022,1/12/2022,Other
Maribor,15.6658,46.5505,1/7/2022,1/12/2022,Other
Maribor,15.6661,46.5507,1/8/2022,1/12/2022,Other
Maribor,15.6578,46.5518,1/8/2022,1/12/2022,Other
Starse,15.7928,46.4442,1/6/2022,1/10/2022,Other
Sestrsko lake,15.6814,46.358,1/7/2022,1/10/2022,Other
Melje right side of the river Drava,15.6782,46.5544,1/7/2022,1/10/2022,Other
Melje left side of river Drava,15.6766,46.5537,1/7/2022,1/10/2022,Other
Zlatolicje,15.7822,46.4419,1/7/2022,1/10/2022,Other
Maribor,15.6629,46.5502,1/4/2022,1/6/2022,Other
Sestrsko lake,15.6789,46.3632,1/4/2022,1/6/2022,Other
Lent,15.6518,46.552,1/2/2022,1/5/2022,Other
Starše,15.7919,46.4435,1/2/2022,1/5/2022,Other
Melje,15.6754,46.5546,1/2/2022,1/5/2022,Other
Veliko Mraševo,15.4913,45.864,12/31/2021,1/4/2022,Other
Maribor,15.666,46.5519,12/31/2021,1/4/2022,Other
Pragersko,15.6696,46.3848,12/31/2021,1/4/2022,Other
Pragersko,15.6695,46.3817,12/31/2021,1/4/2022,Other
Sestrsko lake,15.681,46.3579,12/30/2021,1/4/2022,Other
Radehova,15.8469,46.5589,12/29/2021,1/2/2022,Other
Sestrsko lake,15.675,46.3607,12/29/2021,1/2/2022,Other
Pristan near Dravska villa,15.6464,46.5524,12/28/2021,12/30/2021,Other
Majšperk,15.6823,46.3582,12/28/2021,12/30/2021,Other
Radehova,15.8453,46.5592,12/29/2021,12/30/2021,Other
Novo Mesto,15.1706,45.8054,12/28/2021,12/30/2021,Other
Novo Mesto,15.1557,45.7978,12/28/2021,12/30/2021,Other
Sestrsko lake,15.6648,46.3571,12/27/2021,12/29/2021,Other
Hoce-Slivnica,15.6962,46.5003,12/26/2021,12/28/2021,Other
Pragersko,15.6694,46.3809,12/26/2021,12/27/2021,Other
