location,longitude,latitude,start,end,epiUnit
São Marcos Da Ataboeira,-7.8875,37.755833,8/9/2022,8/20/2022,Backyard
FRANCELOS BEACH,-8.65521,41.07607,9/14/2022,9/21/2022,Other
Fonte da Telha Beach,-9.191107,38.562702,9/15/2022,9/20/2022,Other
Salt marsch at Sao Jacinto - Aveiro ,-8.725762,40.66013,9/7/2022,9/13/2022,Body of water
Parque da Cidade,-7.87504,38.02123,8/17/2022,8/25/2022,Other
Salvador,-7.859,38.01429,8/28/2022,8/29/2022,Other
Praia do Cabedelo,-8.862896,40.139733,7/26/2022,7/28/2022,Other
