location,longitude,latitude,start,end,epiUnit
Chuvashskoe Abdikeevo,51.768634,54.338481,8/6/2022,9/20/2022,Backyard
Verkhazovka,48.766024,50.912235,9/7/2022,10/3/2022,Backyard
Soxkij,51.857909,54.065698,8/6/2022,9/12/2022,Backyard
Axakovo,51.643202,54.524564,8/6/2022,9/12/2022,Backyard
Staroe Vechkanovo,51.73037,54.075732,8/4/2022,9/12/2022,Backyard
Shentala,51.476026,54.42421,8/2/2022,9/12/2022,Backyard
Vasil'evka,51.566017,54.26355,8/1/2022,9/12/2022,Backyard
Beregovoj,48.492353,53.587884,7/26/2022,9/12/2022,Backyard
