location,longitude,latitude,start,end,epiUnit
Janakkala,24.647,60.921,9/27/2021,11/13/2021,Not applicable
Janakkala,24.5224,60.775,10/24/2021,10/24/2021,Not applicable
Janakkala,24.557,60.892,10/24/2021,10/24/2021,Not applicable
Janakkala,24.523,60.7729,10/24/2021,10/24/2021,Not applicable
Janakkala,24.647,60.921,9/23/2021,10/30/2021,Not applicable
Janakkala,24.647,60.921,10/11/2021,10/28/2021,Not applicable
Siuntio,24.0839,60.1902,10/11/2021,10/12/2021,Not applicable
Helsinki,24.9512,60.2087,9/23/2021,9/23/2021,Not applicable
Salo,23.1295,60.383,9/22/2021,10/7/2021,Not applicable
Orimattila,26.0485,60.74225,9/22/2021,9/22/2021,Not applicable
Helsinki,24.934,60.1808,9/7/2021,9/7/2021,Not applicable
Helsinki,24.8444,60.2278,9/2/2021,9/2/2021,Not applicable
Helsinki,24.9896,60.1821,8/25/2021,8/25/2021,Not applicable
Helsinki,24.9876,60.1478,8/20/2021,8/20/2021,Not applicable
Kirkkonummi,24.3459,60.0125,8/20/2021,8/20/2021,Not applicable
Helsinki,25.1123,60.1958,8/20/2021,8/20/2021,Not applicable
Helsinki,25.1758,60.2418,8/13/2021,8/13/2021,Not applicable
Espoo,24.7246,60.1067,8/5/2021,8/5/2021,Not applicable
Helsinki,24.9314,60.2249,8/7/2021,8/8/2021,Not applicable
Helsinki,24.8646,60.1549,8/8/2021,8/8/2021,Not applicable
Helsinki,25.1421,60.1858,8/14/2021,8/14/2021,Not applicable
Helsinki,24.8892,60.1588,8/13/2021,8/13/2021,Not applicable
Turku,22.2524,60.4447,7/29/2021,7/29/2021,Not applicable
Puumala,28.203,61.428,5/8/2021,5/8/2021,Not applicable
Posio,27.845,65.991,6/18/2021,6/18/2021,Not applicable
Kirkkonummi,24.4378,60.1201,7/26/2021,7/26/2021,Not applicable
Kirkkonummi,24.44,60.125,6/22/2021,6/22/2021,Not applicable
Puukkopohjukka,29.6342,62.2976,6/1/2021,6/1/2021,Not applicable
Tjärlax,21.24997,62.47087,5/27/2021,5/27/2021,Not applicable
Tohmajärvi,30.23399,62.15435,5/23/2021,5/23/2021,Not applicable
Kirkkonummi,24.3688,59.9517,5/24/2021,5/24/2021,Not applicable
Imatra,28.1318,61.0995,5/23/2021,5/23/2021,Not applicable
Parikkala,29.5507,61.5586,5/11/2021,5/11/2021,Not applicable
Lappeenranta,28.1318,61.0995,5/18/2021,5/18/2021,Not applicable
Iitti,26.3154,60.8401,5/21/2021,5/21/2021,Not applicable
Parikkala,29.6972,61.7274,5/14/2021,5/14/2021,Not applicable
Kitee,30.1429,62.1058,5/17/2021,5/17/2021,Not applicable
Tohmajärvi,30.6392,62.2159,5/15/2021,5/15/2021,Not applicable
Ruokolahti,28.437,61.429,5/15/2021,5/15/2021,Not applicable
Kitee,29.8427,61.8775,5/16/2021,5/16/2021,Not applicable
Helsinki,24.979,60.209,5/11/2021,5/12/2021,Not applicable
