location,longitude,latitude,start,end,epiUnit
Sola, Ahmedabad,72.509,23.0757,2/19/2021,12/31/1969,Backyard
National Poultry Farm, Uchchhal,73.7412,21.1714,2/12/2021,12/31/1969,Farm
Gundrana,71.8883,21.2585,1/20/2021,12/31/1969,Backyard
