location,longitude,latitude,start,end,epiUnit
PRUNDU - SINOE,28.782711,44.565037,3/16/2022,3/17/2022,Natural park
CEAPLACE - SINOE,28.941847,44.659661,3/16/2022,3/17/2022,Natural park
BRAILA,27.950795,45.248296,3/13/2022,3/15/2022,Natural park
BATCA DOAMNEI,26.3038,46.9313,3/6/2022,3/8/2022,Natural park
SOMESU RECE,23.356723,46.735462,2/21/2022,2/23/2022,Natural park
DOAMNA OANTU,26.3676,46.9235,2/20/2022,2/22/2022,Natural park
SOMESUL RECE,23.356867,46.737216,2/9/2022,2/10/2022,Natural park
PIATRA NEAMT,26.3442,46.9313,2/6/2022,2/9/2022,Natural park
AMARA,27.327048,44.606272,2/8/2022,2/9/2022,Natural park
SOMESU RECE,23.356883,46.735928,2/2/2022,2/6/2022,Natural park
BATCA DOAMNEI,26.3431,46.9312,1/30/2022,1/31/2022,Natural park
PARCHES,28.597688,45.222801,1/5/2022,1/6/2022,Natural park
GALATI,28.05257,45.43294,12/29/2021,1/2/2022,Village
POSTAVARI,26.277215,44.328316,11/2/2021,11/15/2021,Natural park
POCHINA,28.08965,46.00028,12/6/2021,12/8/2021,Natural park
FORTUNA LAKE,29.113222,45.225948,11/25/2021,11/26/2021,Natural park
