location,longitude,latitude,start,end,epiUnit
Plánice,13.465076,49.392188,4/12/2022,5/8/2022,Backyard
Přišimasy,14.765148,50.055245,2/28/2022,4/10/2022,Backyard
České Budějovice,14.485691,48.989951,12/17/2021,12/26/2021,Backyard
Česká Lípa - pond Jílovka,14.511355,50.627985,12/17/2021,12/20/2021,Forest
Viceměřice,17.169951,49.347239,12/19/2021,12/26/2021,Forest
Ždírec-Myť,13.5802,49.5477,11/26/2021,5/16/2022,Backyard
Lednice,16.8046,48.7937,11/24/2021,5/16/2022,Backyard
Lišice,13.357836,49.613435,2/17/2022,3/2/2022,Backyard
Masojedy,14.777207,50.026515,2/7/2022,2/27/2022,Backyard
Spytihněv,17.503169,49.138017,1/28/2022,1/28/2022,Forest
Davle - Vltava river,14.401159,49.890914,1/10/2022,1/10/2022,Forest
Klínovice,13.885475,49.31215,1/12/2022,1/14/2022,Backyard
Lišice,13.359422,49.613516,2/1/2022,3/2/2022,Backyard
Bojanovice,15.989394,48.969039,1/1/2022,3/14/2022,Backyard
Blažim,13.629673,50.406178,1/2/2022,1/26/2022,Backyard
Blatná,13.8517,49.4347,12/14/2021,12/17/2021,Backyard
Dolní Lhota,14.946,49.065,11/11/2021,11/14/2021,Backyard
Lužnice River,14.713,49.24,10/31/2021,11/3/2021,Not applicable
Hermanický rybník,14.6076,50.6588,11/28/2021,11/30/2021,Not applicable
Kojetín (rybník Na Hrázi),17.3051,49.3582,11/14/2021,11/22/2021,Not applicable
Doubravický rybník,17.474,49.289,11/14/2021,11/18/2021,Not applicable
Ostruženský rybník,15.311,50.443,11/11/2021,11/17/2021,Not applicable
