location,longitude,latitude,start,end,epiUnit
Aalst,4.14828,50.9485,2/20/2023,2/23/2023,Farm
Wervik,3.051083,50.834918,1/23/2023,1/25/2023,Farm
Wervik,3.00121,50.81014,1/17/2023,1/19/2023,Farm
Tongeren,5.44421,50.79007,1/10/2023,1/11/2023,Farm
Houthulst,2.855,50.96196,12/26/2022,12/29/2022,Farm
Sint-Laureins,3.57006,51.23151,9/18/2022,9/21/2022,Farm
Houthulst,2.85352,50.96074,12/22/2022,12/26/2022,Farm
Turnhout,4.939419,51.276162,11/8/2022,11/13/2022,Farm
Hoogstraten,4.770673,51.436901,10/26/2022,10/28/2022,Farm
Hoogstraten,4.799186,51.431161,10/20/2022,10/23/2022,Farm
Tongeren,5.44421,50.79007,10/7/2022,10/9/2022,Farm
Wingene,3.26749,51.08261,9/30/2022,10/2/2022,Farm
Sint-Laureins,3.56564,51.22364,9/28/2022,9/29/2022,Farm
Sint-Laureins,3.55313,51.22553,9/25/2022,9/28/2022,Farm
