location,longitude,latitude,start,end,epiUnit
Ningxia Village, Quanji township,99.880249,37.268482,7/8/2022,12/31/1969,Other
Garrila Village, Shi nai hai township,99.652794,36.874073,7/6/2022,12/31/1969,Other
