location,longitude,latitude,start,end,epiUnit
Enköping,17.112894,59.711593,6/29/2022,6/29/2022,Other
Marholmen,11.91605,57.625,6/14/2022,6/14/2022,Other
Hunnebostrand,11.294066,58.442872,6/19/2022,6/19/2022,Other
Malmslätt,15.507074,58.414574,7/21/2022,7/21/2022,Other
Ekstakusten,18.12454,57.25024,7/25/2022,7/25/2022,Other
Ekstakusten,18.1107,57.29064,7/14/2022,7/14/2022,Other
Vivesholm,18.25332,57.22183,7/24/2022,7/24/2022,Other
Tofta, Visby,18.10838,57.518836,7/13/2022,7/13/2022,Other
Asperö,11.801,57.64763,7/25/2022,7/25/2022,Other
Hamburgsund,11.77036,58.33626,7/14/2022,7/14/2022,Other
Hamburgsund,11.28301,58.509,7/14/2022,7/14/2022,Other
Fårö Bro,19.07986,57.86935,7/25/2022,7/25/2022,Other
Uddevalla,11.763252,58.32946,7/14/2022,7/14/2022,Other
Vadholmen, Uddevalla,11.759044,58.325178,7/14/2022,7/14/2022,Other
Göteborg,11.93725,57.572266,7/14/2022,7/14/2022,Other
Uddevalla,11.758019,58.33134,7/6/2022,7/6/2022,Other
Varberg,12.50646,57.09742,7/14/2022,7/14/2022,Other
Simrishamn,14.256715,55.442933,7/10/2022,7/10/2022,Other
Karlshamn,14.856167,56.140674,6/25/2022,6/25/2022,Other
Fröjel,18.191131,57.336113,7/11/2022,7/11/2022,Other
Lilla Karlsö,18.063238,57.313772,7/2/2022,7/2/2022,Other
Varberg,12.309122,57.075796,6/26/2022,6/26/2022,Other
Båstad,12.8364,56.4216,6/16/2022,6/16/2022,Other
Fjärås,12.170784,57.458897,5/31/2022,5/31/2022,Other
Glommen,12.371128,56.934997,6/14/2022,6/14/2022,Other
Hjälvik,11.633489,57.720746,6/25/2022,6/25/2022,Other
Rute socken,18.928169,57.834985,5/23/2022,5/23/2022,Other
Falkaholmen,14.5734,56.0293,6/12/2022,6/12/2022,Other
Falkaholmen,14.5734,56.0293,6/12/2022,6/12/2022,Other
Falkaholmen,14.5734,56.0293,6/12/2022,6/12/2022,Other
Eneskärskläppar,15.8005,56.0951,6/8/2022,6/8/2022,Other
Falkaholmen,14.7016,56.1214,12/31/2021,12/31/2021,Other
Skanör,12.836874,55.407714,6/8/2022,6/8/2022,Other
Skanör,12.832202,55.413981,6/4/2022,6/4/2022,Other
Kalmar,16.331268,56.651825,4/27/2022,4/27/2022,Other
Hovås,12.100653,57.621998,5/15/2022,5/15/2022,Other
Umeå,20.901059,63.782481,3/22/2022,3/22/2022,Other
Växjö,14.815527,56.877513,4/18/2022,4/18/2022,Other
Borgholm,16.654892,56.881038,4/22/2022,4/22/2022,Other
Mosås,15.1487,59.1938,3/31/2022,3/31/2022,Other
Stojby Klippan,14.771394,56.892198,3/10/2022,3/10/2022,Other
Hillarp,13.154063,55.388051,1/19/2022,1/19/2022,Other
Höör,13.614996,55.880004,3/5/2022,3/5/2022,Other
Vellinge,13.105493,55.510327,2/22/2022,3/2/2022,Backyard
Listerby,15.388709,56.184818,2/13/2022,2/13/2022,Other
Yttre Tistlarna,11.7323,57.5129,1/30/2022,1/30/2022,Other
Ljungbyhed,13.191161,56.077137,1/23/2022,1/23/2022,Other
Åstorp,12.897329,56.131795,1/20/2022,1/20/2022,Other
Skivarp,13.546331,55.448619,1/31/2022,1/31/2022,Other
Simrishamn,14.286514,55.59299,1/14/2022,1/14/2022,Other
Nacka,18.111556,59.322525,1/10/2022,1/10/2022,Other
Hässleholm,13.77446,56.152772,1/5/2022,1/5/2022,Other
Svedala,13.1414,55.5489,12/31/2021,12/31/2021,Other
Sölvesborg,14.712833,56.041462,12/16/2021,12/16/2021,Other
Sölvesborg,14.569565,56.048318,12/17/2021,12/17/2021,Other
Glommen,12.356665,56.966627,12/31/2021,12/31/2021,Other
Söder Mälarstrand,18.035899,59.321704,1/2/2022,1/2/2022,Other
Bettna,16.567814,58.908766,12/22/2021,12/30/2021,Backyard
Bergkvara,15.999003,56.413074,12/16/2021,12/16/2021,Other
Skanör,12.85264,55.408096,11/16/2021,11/16/2021,Other
Vellinge,13.017371,55.468577,11/1/2021,11/1/2021,Other
Trelleborg,13.155265,55.370106,10/31/2021,10/31/2021,Other
Sjöbo,13.625454,55.681338,12/16/2021,12/16/2021,Other
Bredsätra,16.654081,56.885758,12/15/2021,12/15/2021,Other
Eslöv,13.546539,55.70141,12/14/2021,12/14/2021,Other
Åhus,14.317725,55.919783,12/8/2021,12/8/2021,Other
Bergkvara,16.080399,56.377528,12/8/2021,12/8/2021,Other
Vellinge,12.966889,55.475244,12/14/2021,12/17/2021,Backyard
Lemmeströ,13.385041,55.482695,11/25/2021,11/25/2021,Other
Skivarp,13.525263,55.427847,11/29/2021,12/1/2021,Backyard
Borgholm,16.833368,56.869326,11/15/2021,11/15/2021,Other
Malmö,13.022722,55.5945,11/7/2021,11/7/2021,Other
Malmö,13.054355,55.559721,10/25/2021,10/25/2021,Other
Lund,13.161623,55.709614,10/31/2021,10/31/2021,Other
Norreborg,12.696839,55.92017,11/7/2021,11/7/2021,Other
Kivik,14.15468,55.71648,11/17/2021,11/17/2021,Other
Fröslida,13.050121,56.868284,11/7/2021,11/7/2021,Other
Bönnarps gård,13.12257,55.52644,10/28/2021,10/28/2021,Other
Klågerup,13.286897,55.575084,10/31/2021,10/31/2021,Other
