location,longitude,latitude,start,end,epiUnit
Helsinki,24.9399,60.1537,8/5/2022,8/5/2022,Not applicable
Helsinki,24.957,60.151,8/15/2022,8/15/2022,Not applicable
Kirkkonummi,24.3717,60.0585,8/11/2022,8/11/2022,Not applicable
Parainen,21.396,60.4046,8/7/2022,8/7/2022,Not applicable
Helsinki,24.907,60.0554,7/23/2022,7/23/2022,Not applicable
Geta,19.8097,60.3811,7/3/2022,7/3/2022,Not applicable
Korsnäs,21.188,62.785,5/21/2022,5/21/2022,Not applicable
Lemland,19.959,60.005,6/13/2022,6/13/2022,Not applicable
Raisio,22.115,60.463,7/1/2022,7/2/2022,Not applicable
Naantali,22.016,60.465,7/2/2022,7/2/2022,Not applicable
Jomala,19.899,60.04,6/12/2022,6/12/2022,Not applicable
Espoo,24.662,60.164,5/10/2022,5/12/2022,Not applicable
Espoo,24.712,60.091,5/18/2022,5/22/2022,Not applicable
Kirkkonummi,24.3414,60.0296,5/15/2022,5/15/2022,Not applicable
Salo,22.9974,60.3545,4/13/2022,4/13/2022,Not applicable
Kajaani,27.7773,64.2278,4/5/2022,4/6/2022,Not applicable
Parainen,22.304,60.298,4/19/2022,4/19/2022,Not applicable
Kajaani,27.7336,64.2281,4/2/2022,4/2/2022,Not applicable
Ulvila,21.8794,61.4729,3/22/2022,3/22/2022,Not applicable
Riihimäki,24.7664,60.7372,3/1/2022,3/1/2022,Not applicable
Espoo,24.7521,60.1797,2/26/2022,2/26/2022,Not applicable
Helsinki,24.9415,60.1795,1/8/2022,1/8/2022,Not applicable
Helsinki,24.934,60.1808,12/28/2021,12/28/2021,Not applicable
Helsinki,24.9409,60.18,12/24/2021,12/24/2021,Not applicable
