location,longitude,latitude,start,end,epiUnit
Haapsalu,23.531826,58.954101,3/17/2022,3/22/2022,Not applicable
Mändjala,22.3046,58.206386,2/13/2022,2/20/2022,Not applicable
Pärnu,24.500505,58.397501,12/13/2021,12/19/2021,Not applicable
Pärnu,24.56022,58.362453,11/24/2021,12/1/2021,Not applicable
Mereäärse,23.683806,58.451618,8/3/2021,8/18/2021,Not applicable
Järve beach,22.271527,58.190427,11/7/2021,11/24/2021,Not applicable
Haljava,25.187892,59.388175,11/7/2021,11/24/2021,Not applicable
Metsaküla,24.527041,58.263878,11/7/2021,11/24/2021,Not applicable
Paikuse,24.622317,58.37252,11/1/2021,11/7/2021,Not applicable
Lobineem,25.974304,59.628554,10/11/2021,10/19/2021,Not applicable
Narva-Jõesuu,28.02761,59.45555,6/2/2021,6/8/2021,Not applicable
Kuralaid,23.667138,58.438836,6/2/2021,6/8/2021,Not applicable
Krimmi holm,23.513046,58.958261,6/1/2021,6/8/2021,Not applicable
Papilaid,23.403377,58.681334,6/1/2021,6/8/2021,Not applicable
Paatsalu bay,23.686445,58.519204,6/1/2021,6/8/2021,Not applicable
Matsalu,23.705404,58.723031,5/17/2021,5/19/2021,Not applicable
