location,longitude,latitude,start,end,epiUnit
CODLEA,25.461333,45.736138,1/31/2023,2/1/2023,Natural park
DOAMNA OANTU,26.3728,46.9162,3/1/2023,3/1/2023,Natural park
DOAMNA OANTU,26.3426,46.9317,2/20/2023,2/20/2023,Natural park
DOAMNA OANTU,26.3267,46.9324,2/7/2023,2/7/2023,Natural park
CODLEA,25.45778,45.735558,2/1/2023,2/2/2023,Natural park
BATCA DOAMNEI,26.3266,46.9324,1/25/2023,1/29/2023,Natural park
FANTANELE,26.886483,46.630581,1/17/2023,1/19/2023,Natural park
GIOSENI,26.96559,46.49658,1/17/2023,1/19/2023,Natural park
ROTOPANESTI,26.273917,47.495745,1/16/2023,1/18/2023,Natural park
BATCA DOAMNEI,26.3679,46.9213,1/11/2023,1/15/2023,Natural park
BATCA DOAMNEI,26.3692,46.9201,1/11/2023,1/15/2023,Natural park
BATCA DOAMNEI,26.37014,46.91919,1/11/2023,1/15/2023,Natural park
BATCA DOAMNEI,26.3296,46.9381,1/5/2023,1/8/2023,Natural park
FALTICENI,26.3175,47.4675,1/2/2023,1/3/2023,Natural park
BATCA DOAMNEI,26.3295,46.938,11/27/2022,12/7/2022,Natural park
BATCA DOAMNEI,26.3266,46.9323,12/4/2022,12/7/2022,Natural park
BATCA DOAMNEI,26.3344,46.9366,11/24/2022,11/27/2022,Natural park
BATCA DOAMNEI,26.3266,46.9323,11/22/2022,11/27/2022,Natural park
BATCA DOAMNEI,26.332,46.938,11/22/2022,11/27/2022,Natural park
BATCA DOAMNEI,26.3302,46.9379,11/17/2022,11/21/2022,Natural park
BATCA DOAMNEI,26.3302,46.9379,11/16/2022,11/21/2022,Natural park
BATCA DOAMNEI,26.3315,46.938,11/14/2022,11/15/2022,Natural park
BECIU,24.678226,43.958536,11/16/2022,11/16/2022,Natural park
