location,longitude,latitude,start,end,epiUnit
Lüdinghausen,7.44,51.77,2/22/2023,3/2/2023,Not applicable
Coesfeld,7.17,51.87,2/12/2023,2/22/2023,Not applicable
Rosendahl,7.26,52.02,2/16/2023,2/22/2023,Not applicable
Gelsenkirchen,7.06,51.56,2/16/2023,12/31/1969,Not applicable
Dülmen,7.162,51.825,2/9/2023,2/15/2023,Not applicable
Lüdinghausen,7.42,51.77,2/13/2023,2/15/2023,Not applicable
Warendorf,8.09,51.95,2/8/2023,12/31/1969,Not applicable
Herdecke,7.45,51.41,2/1/2023,2/12/2023,Not applicable
Windeck,7.58,50.8,1/12/2023,2/12/2023,Not applicable
Kranenburg,6.05,51.81,1/21/2023,1/29/2023,Not applicable
Gronau (Westf.),7.03,52.18,10/27/2022,10/31/2022,Not applicable
Münster,7.6,51.95,11/2/2022,11/10/2022,Not applicable
Herford,8.67,52.11,11/9/2022,11/14/2022,Not applicable
Emmerich am Rhein,6.21,51.84,12/1/2022,12/6/2022,Not applicable
Weeze,6.2,51.62,11/30/2022,1/2/2023,Zoo
Gronau (Westf.),7.07,52.23,1/5/2023,1/17/2023,Not applicable
Bergheim,6.68,50.93,1/16/2023,2/27/2023,Zoo
Steinhagen,8.32,51.98,12/8/2022,1/10/2023,Backyard
Bad Berleburg,8.39,50.98,12/5/2022,1/16/2023,Backyard
Lemgo,8.95,52,12/4/2022,1/6/2023,Backyard
Bad Laasphe,8.4,50.92,12/1/2022,1/16/2023,Backyard
Verl,8.58,51.85,11/28/2022,1/4/2023,Backyard
Windeck,7.64,50.8,10/31/2022,12/6/2022,Backyard
Bergisch Gladbach ,7.11,50.98,11/2/2022,12/6/2022,Backyard
Morsbach,7.68,50.83,10/30/2022,12/8/2022,Backyard
Siegen,7.98,50.87,10/27/2022,12/5/2022,Backyard
Spenge,8.41,52.13,12/22/2022,1/1/2023,Not applicable
Aachen,6.11,50.76,12/22/2022,1/2/2023,Not applicable
Münster,7.64,52.02,12/8/2022,12/21/2022,Not applicable
Saerbeck,7.69,52.14,12/7/2022,12/11/2022,Not applicable
Kamp-Lintfort,6.54,51.49,10/5/2022,10/17/2022,Not applicable
Bad Salzuflen,8.75,52.09,10/30/2022,11/8/2022,Not applicable
Espelkamp,8.612,52.385,9/19/2022,9/26/2022,Not applicable
Xanten,6.438,51.681,3/28/2022,5/18/2022,Not applicable
Münster,7.655,52.028,3/31/2022,4/18/2022,Not applicable
Saerbeck,7.624,52.172,4/4/2022,4/18/2022,Not applicable
Münster,7.654,52.028,4/3/2022,4/3/2022,Not applicable
Steinfurt,7.339,52.145,3/24/2022,4/3/2022,Not applicable
Steinfurt,7.353,52.139,3/13/2022,3/21/2022,Not applicable
Senden,7.494,51.937,3/9/2022,3/17/2022,Not applicable
Münster,7.648,52.026,3/8/2022,3/14/2022,Not applicable
Werne,7.672,51.718,3/3/2022,3/27/2022,Not applicable
Troisdorf,7.14,50.789,3/1/2022,3/7/2022,Not applicable
Grefrath,6.323,51.314,2/23/2022,3/27/2022,Not applicable
Troisdorf,7.1,50.83,2/15/2022,2/22/2022,Not applicable
Düsseldorf,6.8,51.24,2/21/2022,2/24/2022,Not applicable
Heek,7.1,52.168,2/17/2022,2/20/2022,Not applicable
Wermelskirchen,7.25,51.11,2/20/2022,2/23/2022,Not applicable
Rheine,7.46,52.24,2/17/2022,2/20/2022,Not applicable
Dinslaken,6.719,51.557,2/16/2022,2/20/2022,Not applicable
Coesfeld,7.212,51.95,2/8/2022,2/16/2022,Not applicable
Düsseldorf,6.77,51.22,2/15/2022,2/21/2022,Not applicable
Krefeld,6.593,51.301,2/8/2022,2/16/2022,Not applicable
Düsseldorf,6.72,51.25,2/8/2022,2/15/2022,Not applicable
Wesel,6.56765,51.63,2/7/2022,2/10/2022,Not applicable
Rees,6.35,51.77,2/3/2022,2/9/2022,Not applicable
Alpen,6.498,51.598,2/9/2022,2/10/2022,Not applicable
Rheinberg,6.673,51.53,2/7/2022,2/10/2022,Not applicable
Düsseldorf,6.77,51.22,2/6/2022,2/10/2022,Not applicable
Hamminkeln,6.58,51.74,1/30/2022,2/8/2022,Not applicable
Halle (Westf.),8.33,52.04,1/24/2022,2/6/2022,Not applicable
Ahlen,7.898,51.747,1/31/2022,2/6/2022,Not applicable
Düsseldorf,6.77,51.22,1/24/2022,1/27/2022,Not applicable
Troisdorf,7.11,50.8,1/27/2022,1/31/2022,Not applicable
Bocholt,6.55,51.808,1/25/2022,1/30/2022,Not applicable
Münster,7.65,52.02,1/30/2022,1/31/2022,Not applicable
Hövelhof,8.607,51.837,12/7/2021,12/12/2021,Not applicable
Bonn,7.15,50.71,1/23/2022,1/26/2022,Not applicable
Lippstadt,8.23,51.66,1/18/2022,1/24/2022,Not applicable
Rees,6.43,51.72,1/17/2022,1/21/2022,Not applicable
Lage,8.856,51.98,1/16/2022,1/19/2022,Not applicable
Lemgo,8.85,52.02,1/16/2022,1/19/2022,Not applicable
Xanten,6.43,51.699,1/16/2022,1/17/2022,Not applicable
Bonn,7.145,50.7126,1/16/2022,1/17/2022,Not applicable
Bonn,7.1442,50.7134,1/10/2022,1/13/2022,Not applicable
Bielefeld,8.45,51.97,11/25/2021,11/30/2021,Not applicable
