location,longitude,latitude,start,end,epiUnit
HPAI_H5N1_2021_W_071,18.5,-33.8,11/20/2022,2/19/2023,Other
HPAI_H5N1_2021_W_042,18.5,-34,10/10/2021,1/8/2022,Other
HPAI_H5N1_2021_W_040,19.41723,-34.68251,10/9/2021,2/25/2023,Other
HPAI_H5N1_2021_W_051,24.8,-34.2,10/31/2021,12/30/2022,Other
HPAI_H5N1_2021_W_065,28.8,-27,3/14/2022,12/30/2022,Other
HPAI_H5N1_2021_W_073,17.9,-33,10/18/2022,1/17/2023,Other
HPAI_H5N1_2021_W_072,18.4,-34.2,11/10/2022,2/8/2023,Other
HPAI_H5N1_2021_W_070,18.7,-34,7/27/2022,11/11/2022,Other
HPAI_H5N1_2021_W_069,18.6,-33.8,6/13/2022,9/11/2022,Other
HPAI_H5N1_2021_W_064,18.8,-33.9,3/20/2022,6/19/2022,Other
HPAI_H5N1_2021_W_063,19.1,-34.3,3/12/2022,6/13/2022,Other
HPAI_H5N1_2021_W_058,23.5,-33.9,12/3/2021,3/4/2022,Other
HPAI_H5N1_2021_W_056,18.3,-32.6,12/16/2021,3/16/2022,Other
HPAI_H5N1_2021_W_055,18.3481,-32.2958,12/20/2021,4/15/2022,Other
HPAI_H5N1_2021_W_052,18.357,-33.5791,11/11/2021,2/9/2022,Other
HPAI_H5N1_2021_W_047,17.9,-33,11/15/2021,6/18/2022,Other
HPAI_H5N1_2021_W_046,19.3505,-34.587,10/7/2021,3/25/2022,Other
HPAI_H5N1_2021_W_045,18,-32.8,9/15/2021,5/31/2022,Other
HPAI_H5N1_2021_W_043,18.3178,-32,10/6/2021,4/15/2022,Other
HPAI_H5N1_2021_W_041,18.9,-34.3,9/28/2021,2/1/2023,Other
HPAI_H5N1_2021_W_038,18.0853,-33.4239,9/13/2021,4/6/2022,Other
HPAI_H5N1_2021_W_037,18.2,-32.8,9/12/2021,1/25/2023,Other
HPAI_H5N1_2021_W_036,18.4,-34.1,9/12/2021,6/20/2022,Not applicable
HPAI_H5N1_2021_W_027,18.5,-34,6/30/2021,9/29/2021,Other
HPAI_H5N1_2021_W_023,18.5,-34,6/27/2021,9/27/2021,Other
HPAI_H5N1_2021_W_020,18.5,-33.8,6/17/2021,9/18/2021,Other
HPAI_H5N1_2021_W_017,18.4,-33.9,6/13/2021,9/12/2021,Other
HPAI_H5N1_2021_W_016,18.5,-33.7,6/12/2021,9/10/2021,Other
HPAI_H5N1_2021_W_015,18.386,-33.915,6/8/2021,4/15/2022,Other
HPAI_H5N1_2021_W_013,18.475,-33.82,6/1/2021,1/11/2023,Other
HPAI_H5N1_2021_W_012,18.3701,-33.7912,5/17/2021,3/12/2022,Other
HPAI_H5N1_2021_W_010,18.4,-34.2,5/31/2021,8/31/2021,Other
HPAI_H5N1_2021_W_007,18.4,-34.1,5/18/2021,2/7/2023,Other
HPAI_H5N1_2021_W_006,18.4,-34.1,5/18/2021,2/10/2023,Other
HPAI_H5N1_2021_W_005,18.5,-33.8,5/13/2021,2/26/2023,Other
HPAI_H5N1_2021_W_004,18.5,-33.9,5/19/2021,8/17/2021,Other
HPAI_H5N1_2021_W_074,27.3,-26.6,11/30/2022,12/31/1969,Body of water
HPAI_H5N1_2021_W_003,18.4,-34,5/18/2021,10/5/2022,Zoo
HPAI_H5N1_2021_W_067,28.3,-25.7,6/1/2022,8/24/2022,Backyard
HPAI_H5N1_2021_W_062,27.5,-26.5,2/14/2022,5/17/2022,Backyard
HPAI_H5N1_2021_W_066,28,-26.5,5/22/2022,7/10/2022,Farm
HPAI_H5N1_2021_W_068,18.7,-33.6,4/20/2022,6/14/2022,Other
HPAI_H5N1_2021_W_054,28.4053,-25.9323,12/16/2021,2/3/2022,Other
HPAI_H5N1_2021_W_048,28.2,-25.3,10/28/2021,2/15/2022,Backyard
HPAI_H5N1_2021_W_034,28.2,-26.3,6/2/2021,3/13/2022,Other
HPAI_H5N1_2021_W_028,30.8,-24.3,6/30/2021,1/30/2022,Farm
HPAI_H5N1_2021_W_059,28.4,-26.3,1/9/2022,3/3/2022,Other
HPAI_H5N1_2021_W_053,27.9,-26.5,11/30/2021,3/3/2022,Backyard
HPAI_H5N1_2021_W_057,28.4,-25.9,1/16/2022,2/27/2022,Backyard
HPAI_H5N1_2021_W_061,28.1,-25.6,2/7/2022,5/17/2022,Other
HPAI_H5N1_2021_W_060,31.2,-29.5,1/13/2022,12/31/1969,Backyard
HPAI_H5N1_2021_W_011,23.2,-34,6/2/2021,1/11/2022,Other
HPAI_H5N1_2021_W_050,28.7,-25.8,10/24/2021,2/10/2022,Other
HPAI_H5N1_2021_W_022,26.7,-31.3,6/8/2021,8/5/2021,Backyard
HPAI_H5N1_2021_W_049,27.2,-27.6,11/9/2021,12/31/1969,Backyard
HPAI_H5N1_2021_W_044,27.4,-27.5,10/21/2021,12/31/1969,Backyard
HPAI_H5N1_2021_W_039,31.1,-29.5,9/24/2021,12/31/1969,Backyard
HPAI_H5N1_2021_W_024,27.8,-25.9,6/30/2021,8/15/2021,Backyard
HPAI_H5N1_2021_W_035,27.8,-26,8/15/2021,2/10/2022,Other
HPAI_H5N1_2021_W_033,28.2,-26.1,5/17/2021,2/10/2022,Other
HPAI_H5N1_2021_W_031,28.4,-25.4,5/16/2021,2/10/2022,Other
HPAI_H5N1_2021_W_030,28.3,-25.6,5/16/2021,2/10/2022,Other
HPAI_H5N1_2021_W_029,28.3,-25.6,5/16/2021,2/10/2022,Other
HPAI_H5N1_2021_W_032,27.7,-26.7,5/24/2021,6/21/2021,Other
HPAI_H5N1_2021_W_025,28,-26,6/28/2021,8/3/2021,Zoo
HPAI_H5N1_2021_W_026,18.8,-33.9,6/6/2021,7/4/2021,Other
HPAI_H5N1_2021_W_021,18.9,-33.6,6/24/2021,7/22/2021,Other
HPAI_H5N1_2021_W_019,19.15,-34.4,6/18/2021,7/16/2021,Other
HPAI_H5N1_2021_W_018,18.08,-33.424,6/13/2021,7/11/2021,Other
HPAI_H5N1_2021_W_014,19.4,-34.6,6/8/2021,7/6/2021,Other
HPAI_H5N1_2021_W_008,18.7,-33.3,5/19/2021,6/16/2021,Other
HPAI_H5N1_2021_W_009,20.1,-34.5,6/1/2021,6/29/2021,Other
HPAI_H5N1_2021_W_001,18.8,-33.7,5/12/2021,6/9/2021,Farm
HPAI_H5N1_2021_W_002,19.5,-33.7,5/13/2021,6/10/2021,Farm
