location,longitude,latitude,start,end,epiUnit
Prinzhöfte,8.55,52.96,4/3/2022,5/7/2022,Farm
Wangerland,7.847,53.691,2/28/2022,4/3/2022,Farm
Garrel,8.06,52.99,2/26/2022,3/30/2022,Farm
Garrel,8.05,53,2/24/2022,3/30/2022,Farm
Garrel,8.052,52.974,2/17/2022,3/30/2022,Farm
Garrel,8.073,52.981,2/14/2022,3/30/2022,Farm
Spahnharrenstätte,7.59,52.87,2/10/2022,3/14/2022,Farm
Müden (Aller),10.32,52.52,1/23/2022,2/28/2022,Farm
Westerstede,8.03,53.25,1/18/2022,2/20/2022,Farm
Westerstede,7.98,53.24,1/13/2022,2/13/2022,Farm
Lähden,7.7,52.77,12/29/2021,2/1/2022,Farm
Goldenstedt,8.39,52.73,12/29/2021,1/30/2022,Farm
Goldenstedt,8.45,52.74,12/24/2021,1/26/2022,Farm
Butjadingen,8.39,53.56,12/20/2021,1/21/2022,Backyard
Vechta,8.32,52.72,12/16/2021,1/16/2022,Farm
Vechta,8.31,52.76,12/15/2021,1/16/2022,Farm
Ganderkesee,8.6,53.08,12/4/2021,1/5/2022,Farm
Wietze,9.82,52.66,12/9/2021,1/16/2022,Backyard
Wistedt,9.69,53.25,11/27/2021,1/4/2022,Farm
Hagen im Bremischen,8.64,53.36,11/15/2021,12/22/2021,Farm
Friesoythe,7.84,53.08,11/14/2021,12/18/2021,Farm
Badbergen,7.91,52.65,11/13/2021,12/16/2021,Farm
Friesoythe,7.84,53.06,11/11/2021,12/18/2021,Farm
Hilgermissen,9.18,52.82,11/10/2021,12/13/2021,Farm
Ihlow,7.304,53.374,11/11/2021,12/12/2021,Farm
Friesoythe,7.84,53.07,11/9/2021,12/18/2021,Farm
Friesoythe,7.83,53.08,11/7/2021,12/18/2021,Farm
