location,longitude,latitude,start,end,epiUnit
Metheringham, North Kesteven,-0.3,53.09,11/3/2022,12/31/1969,Backyard
Blackwaterfoot, Bute  ,-5.32,55.49,1/9/2023,1/9/2023,Other
Coneythorpe and Clareton, North Yorkshire ,-1.38,54.03,12/21/2022,1/12/2023,Other
Wolvercote, Oxfordshire ,-1.28,51.76,11/15/2022,1/5/2023,Other
Bull’s Cross, Greater London ,-0.06,51.67,1/11/2023,1/11/2023,Other
Lanark, Lanarkshire,-3.75,55.66,1/7/2023,1/7/2023,Other
Cambus, Clackmannanshire  ,-3.84,56.12,1/6/2023,1/6/2023,Other
Samuelston, East Lothian  ,-2.82,55.92,1/6/2023,1/6/2023,Other
Weast, Greater Manchester ,-2.29,53.48,12/10/2022,1/10/2023,Other
Woodford, Greater Manchester  ,-2.16,53.32,1/9/2023,1/9/2023,Other
Westleton, Suffolk ,1.62,52.24,10/19/2022,1/6/2023,Other
Bakewell, Derbyshire Dales ,-1.7,53.22,1/12/2023,12/31/1969,Backyard
Ise Lodge, Northamptonshire ,-0.7,52.38,1/6/2023,1/6/2023,Other
Roundhay, West Yorkshire ,-1.49,53.83,10/26/2022,1/4/2023,Other
Stratford on Avon, Warwickshire,-1.7,52.18,10/14/2022,1/6/2023,Other
Leominster, North Herefordshire,-2.74,52.25,1/5/2023,12/31/1969,Backyard
Llanbrynmair, Powys,-3.64,52.68,1/2/2023,1/2/2023,Other
Maltby, South Yorkshire,-1.13,53.39,1/3/2023,1/3/2023,Other
Great Sankey, Cheshire,-2.61,53.39,12/31/2022,12/31/2022,Other
Crieff, Perthshire,-3.78,56.36,12/21/2022,12/21/2022,Other
Charlwood, East Sussex,-0.01,51.08,1/2/2023,1/2/2023,Other
Shelton, Staffordshire ,-2.17,53.01,9/28/2022,1/4/2023,Other
Aberlady, East Lothian,-2.86,56.02,12/14/2022,1/3/2023,Other
Gilling West, North Yorkshire,-1.73,54.44,12/30/2022,12/30/2022,Other
Eastingdown, Kent,1.08,51.3,12/20/2022,12/20/2022,Other
Brasside, Durham,-1.54,54.8,12/29/2022,12/29/2022,Other
Borrowfield, Angus,-2.47,56.72,12/22/2022,12/22/2022,Other
Killingworth, Tyne & Wear,-1.57,55.03,12/31/2022,12/31/2022,Other
Loftus, North Yorkshire,-0.83,54.5,12/27/2022,12/27/2022,Other
Nuneaton, Warwickshire,-1.47,52.5,12/22/2022,12/22/2022,Other
Moreton, Herefordshire ,-2.72,52.26,12/27/2022,12/27/2022,Other
Castle Carrock, Cumbria,-2.7,54.88,12/4/2022,12/22/2022,Other
Chittoe, Wiltshire,-2.07,51.4,12/1/2022,12/29/2022,Other
Arundel, West Sussex,-0.54,50.86,10/9/2022,12/26/2022,Other
Slimbridge, Gloucestershire ,-2.4,51.74,9/27/2022,12/26/2022,Other
Egham Hythe, Surrey ,-0.51,51.41,11/16/2022,12/27/2022,Other
Soham, Cambridgeshire,0.35,52.35,11/1/2022,12/29/2022,Other
Widdrington Station, Northumberland,-1.63,55.23,11/23/2022,12/26/2022,Other
Caldecotte, Buckinghamshire ,-0.7,52.01,11/15/2022,12/28/2022,Other
Low Moor, West Yorkshire,-1.77,53.75,11/24/2022,12/21/2022,Other
WWT Llwynhendy, Carmarthenshire ,-4.12,51.66,9/29/2022,12/15/2022,Other
Alveley, Shropshire ,-2.35,52.45,12/20/2022,12/19/2022,Other
Stanghow, North Yorkshire,-0.96,54.51,11/9/2022,12/19/2022,Other
Cantley, South Yorkshire,-1.07,53.51,12/14/2022,12/14/2022,Other
Longformacus, Berwickshire,-2.54,55.8,12/20/2022,12/20/2022,Other
Holytown, Lanarkshire,-3.97,55.82,12/19/2022,12/19/2022,Other
Earlsferry, Fife ,-2.83,56.19,12/8/2022,12/7/2022,Other
Porthcawl, Bridgend ,-3.68,51.48,12/21/2022,12/20/2022,Other
Denscombe, Caerphilly ,-3.21,51.57,12/21/2022,12/20/2022,Other
Higher Whitley, Cheshire ,-2.57,53.31,12/21/2022,12/20/2022,Other
St Asaph, Denbighshire ,-3.47,53.25,12/19/2022,12/18/2022,Other
Shotley Bridge, Northumberland ,-1.95,54.86,12/21/2022,12/20/2022,Other
Guiseley, West Yorkshire ,-1.69,53.87,12/21/2022,12/20/2022,Other
Skirlaugh, East Riding of Yorkshire ,-0.21,53.83,12/22/2022,12/31/1969,Backyard
Bishops Castle, Ludlow ,-2.9,52.53,12/16/2022,12/31/1969,Backyard
