location,longitude,latitude,start,end,epiUnit
Mühlhausen/Thüringen,10.429,51.202,1/23/2023,12/31/1969,Not applicable
Niederorschel,10.41,51.36,1/30/2023,12/31/1969,Backyard
Rhönblick,10.23,50.56,1/23/2023,12/31/1969,Backyard
Hörsel,10.57,50.93,12/10/2022,2/13/2023,Backyard
Rhönblick,10.27,50.55,1/19/2023,12/31/1969,Backyard
Nordhausen,10.8,51.49,1/11/2023,12/31/1969,Not applicable
Bad Sulza,11.541,51.058,12/8/2022,12/31/1969,Backyard
Ilmtal-Weinstraße,11.48,51.04,12/4/2022,12/31/1969,Backyard
Apolda,11.52,51,12/1/2022,12/31/1969,Backyard
Saaleplatte,11.598,51.029,12/1/2022,12/31/1969,Backyard
Bad Langensalza,10.641,51.116,3/3/2022,4/3/2022,Not applicable
