location,longitude,latitude,start,end,epiUnit
Pasohlávky,16.5836333,48.8899111,2/26/2023,12/31/1969,Forest
Kunčina,16.6383339,49.79255,3/2/2023,12/31/1969,Backyard
Krušovice,13.75708,50.17444,2/27/2023,12/31/1969,Backyard
Benice,14.6072897,50.0128303,2/16/2023,12/31/1969,Backyard
Okrouhlice 2,15.4952289,49.6310561,2/15/2023,12/31/1969,Backyard
Okrouhlice 1,15.4894475,49.6323814,2/15/2023,12/31/1969,Backyard
Hrusice 29,14.73654428,49.9096008,12/7/2022,12/31/1969,Backyard
Kunčice pod Ondřejníkem,18.25094,49.56018,12/22/2022,12/31/1969,Backyard
Rovečné,16.3634278,49.5736044,12/14/2022,12/31/1969,Backyard
Ponědraž,14.7034028,49.1178978,12/8/2022,12/31/1969,Backyard
Hrusice 31,14.7375642,49.9094447,12/7/2022,12/31/1969,Backyard
Nebřenice,14.6092178,49.9442039,12/7/2022,12/31/1969,Backyard
Hrusice 5,14.73955,49.9093147,12/14/2022,12/31/1969,Backyard
Velká Bukovina,14.40016,50.72818,1/1/2023,12/31/1969,Backyard
Bartovice,18.361275,49.7942908,12/29/2022,12/31/1969,Backyard
Kozojedy,15.3721733,50.3170756,1/1/2023,12/31/1969,Backyard
Újezdec,17.6818914,49.0376819,1/2/2023,12/31/1969,Backyard
Souměř,12.7585444,49.6794389,1/29/2023,12/31/1969,Backyard
Trpnouze,14.8727514,48.844045,1/28/2023,12/31/1969,Backyard
Židněves,14.9957217,50.4111356,1/16/2023,12/31/1969,Backyard
Úlibice,15.43612,50.43506,1/10/2023,12/31/1969,Backyard
Týnec u Dobrovice,14.9777369,50.3756069,1/5/2023,12/31/1969,Backyard
Myštice,13.9814736,49.4748283,1/3/2023,12/31/1969,Backyard
rybníky Písky,15.51782,50.16097,2/6/2023,12/31/1969,Forest
Hovorčovice,14.52182,50.18058,2/2/2023,12/31/1969,Forest
Šunychl - Kališčák,18.3515856,49.9246447,1/23/2023,12/31/1969,Forest
Brušperk,18.2437039,49.7005219,1/5/2023,12/31/1969,Forest
Sedlčay,14.4313756,49.6509894,1/3/2023,12/31/1969,Forest
