location,longitude,latitude,start,end,epiUnit
Haselünne,7.51,52.7,2/23/2023,12/31/1969,Farm
Wurster Nordseeküste,8.55,53.66,2/17/2023,12/31/1969,Farm
Garrel,7.99,52.95,1/2/2023,2/3/2023,Farm
Garrel,7.98,52.95,12/30/2022,2/3/2023,Farm
Geestland,8.65,53.67,12/28/2022,1/30/2023,Farm
Garrel,8,52.95,12/20/2022,1/22/2023,Farm
Garrel,8,52.95,12/18/2022,1/22/2023,Farm
Großefehn,7.64,53.42,11/13/2022,12/16/2022,Farm
Lorup,7.62,52.95,10/27/2022,11/29/2022,Farm
Lorup,7.62,52.93,10/21/2022,11/29/2022,Farm
Lorup,7.63,52.92,10/21/2022,11/29/2022,Farm
Lorup,7.62,52.92,10/21/2022,11/29/2022,Farm
Lorup,7.63,52.94,10/19/2022,11/29/2022,Farm
Lorup,7.63,52.92,10/15/2022,11/29/2022,Farm
Wittmund,7.73,53.58,10/4/2022,11/6/2022,Farm
Wangerland,7.93,53.67,10/1/2022,11/2/2022,Farm
Surwold,7.53,53.01,9/26/2022,10/28/2022,Farm
Lastrup,7.88,52.8,9/25/2022,10/27/2022,Farm
Bakum,8.1,52.73,9/21/2022,10/23/2022,Farm
Ganderkesee,8.56,53.1,9/16/2022,10/18/2022,Farm
Garrel,8.05,53,9/8/2022,10/11/2022,Farm
Twist,7.09,52.73,9/7/2022,10/13/2022,Farm
Laar,6.73,52.62,9/2/2022,10/7/2022,Farm
Dinklage,8.12,52.68,9/1/2022,10/3/2022,Farm
Haren (Ems),7.1,52.73,8/30/2022,10/4/2022,Farm
Menslage,7.79,52.67,8/28/2022,9/29/2022,Farm
Ganderkesee,8.51,52.978,8/22/2022,9/24/2022,Farm
Dinklage,8.1,52.61,8/20/2022,9/22/2022,Farm
Dinklage,8.09,52.61,8/14/2022,9/22/2022,Farm
Dinklage,8.1,52.61,8/9/2022,9/22/2022,Farm
Beverstedt,8.77,53.41,7/18/2022,9/8/2022,Farm
Hüde,8.431,52.52,7/25/2022,8/26/2022,Farm
