location,longitude,latitude,start,end,epiUnit
Chuzhikovo,38.13299,51.204014,7/20/2022,9/19/2022,Village
Chuzhikovo,38.13299,51.204014,7/20/2022,9/19/2022,Village
Kalachevo ,41.209736,57.064557,7/20/2022,10/5/2022,Backyard
Alekhnovo ,36.318546,55.029136,7/10/2022,8/25/2022,Backyard
Porech'e ,36.568116,54.870191,7/12/2022,8/25/2022,Backyard
Zmeevka,39.225835,53.536921,6/12/2022,8/24/2022,Backyard
Raspopovskie Dvory,36.076692,53.131401,7/6/2022,8/28/2022,Backyard
Kollontaj ,36.531186,55.031923,7/10/2022,8/25/2022,Backyard
Terent'evo,36.414692,55.008686,7/17/2022,8/25/2022,Backyard
Botino,35.008263,56.120558,7/11/2022,8/30/2022,Backyard
Rogovatoe,38.370091,51.223969,7/22/2022,8/22/2022,Backyard
Neznamovo,37.925641,51.264842,7/20/2022,8/22/2022,Backyard
Nikol'skoe ,36.578895,50.441166,7/10/2022,8/16/2022,Backyard
Gubkin,37.534757,51.283644,7/20/2022,9/1/2022,Backyard
Miloslavskoe,39.429438,53.585778,6/11/2022,8/24/2022,Backyard
Kozlovo ,36.033986,54.510181,7/5/2022,8/18/2022,Backyard
Antop'evo ,35.755571,54.324711,7/5/2022,8/17/2022,Backyard
Belousovo ,36.7057,55.0277,7/9/2022,8/17/2022,Backyard
L'va Tolstogo,36.041613,54.607227,7/9/2022,8/17/2022,Backyard
Lobazovka ,35.93112,51.559366,7/7/2022,7/31/2022,Backyard
Pryamitsyno ,35.941675,51.65754,7/7/2022,7/31/2022,Backyard
Kolbasovka,36.772419,51.259814,7/7/2022,7/31/2022,Backyard
Bukan',34.712783,53.911738,7/17/2022,8/17/2022,Backyard
Troyanovo,35.235222,52.360333,6/26/2022,7/19/2022,Backyard
Krasnaya Sloboda,35.146208,51.841659,6/21/2022,7/14/2022,Village
Borshevoe,39.151212,53.710601,6/11/2022,7/19/2022,Village
Turovo,40.28626,53.646285,6/6/2022,7/7/2022,Backyard
Kabitsyno ,36.630746,55.144022,7/11/2022,8/17/2022,Backyard
Khvatovo ,35.482367,54.154365,7/2/2022,8/15/2022,Backyard
Alexandro-Nevsky,40.219399,53.4661,5/27/2022,6/30/2022,Backyard
