location,longitude,latitude,start,end,epiUnit
Khurdwadi,76.4708,18.2716,1/10/2021,2/7/2023,Farm
Waranga,79.039,20.9509,1/14/2021,2/7/2023,Backyard
Gandhinagar Survey No. 62 Wathoda Balgan,73.9475,20.6901,1/22/2021,2/7/2023,Backyard
Murumba,76.870252,19.314108,1/6/2021,2/7/2023,Backyard
Jangalgi,75.496979,17.305983,1/10/2021,2/7/2023,Farm
Pedgaon,76.6675,19.3144,1/10/2021,2/7/2023,Backyard
Kupta Selu,76.6084,19.4464,1/10/2021,2/7/2023,Backyard
Kenderwadi,76.7481,18.6112,1/10/2021,2/7/2023,Farm
Sukani,77.0399,18.5277,1/10/2021,2/7/2023,Backyard
Tondar,77.0521,18.4215,1/10/2021,2/7/2023,Backyard
Umra Tanda Paplawadi Mahur,77.9657,19.8345,1/10/2021,2/7/2023,Backyard
Navandyachiwadi,77.2689,18.811,1/10/2021,2/7/2023,Backyard
Lokhandisawargaon Ambejogai,77.4977,18.7021,1/10/2021,2/7/2023,Backyard
IPDB Pen,73.0944,18.7375,1/10/2021,2/7/2023,Farm
Davangaon Renapur,76.5011,18.5916,1/14/2021,2/7/2023,Farm
Gadchiroli,80.0044,20.1922,1/14/2021,2/7/2023,Backyard
Chikhali,77.34044,18.8882,1/14/2021,2/7/2023,Backyard
Talahari,78.0762,19.3315,1/14/2021,2/7/2023,Backyard
Mariaichi Wadi/ Khandala,74.0125,18.0356,1/14/2021,2/7/2023,Backyard
Warwati,76.4691,18.785,1/14/2021,2/7/2023,Backyard
Atali,73.1018,19.16,1/14/2021,2/7/2023,Backyard
Rayate,73.1336,19.1529,1/14/2021,2/7/2023,Farm
Dhundi,77.569,19.9102,1/17/2021,2/7/2023,Backyard
Nimba,80.3326,21.2137,1/17/2021,2/7/2023,Farm
Sawargad,78.128,20.3952,1/19/2021,2/7/2023,Farm
Ujona,77.7683,20.3213,1/19/2021,2/7/2023,Backyard
Degaon Tanda Sheritand,77.3743,18.4443,1/22/2021,2/7/2023,Backyard
Neptagaon,75.3197,17.6686,1/22/2021,2/7/2023,Backyard
Ganeshwadi,75.415,17.5132,1/22/2021,2/7/2023,Backyard
Salumbre Mawal,73.6988,18.6568,1/22/2021,2/7/2023,Farm
Shinodi Survey No. 203 Sangammer,74.374,19.327,1/22/2021,2/7/2023,Backyard
Sade Survey No. 360/1,74.6904,19.3288,1/22/2021,2/7/2023,Backyard
Krushnapur,77.4131,19.5472,1/22/2021,2/7/2023,Backyard
Bhankhed Chikhali,76.1804,20.5365,1/22/2021,2/7/2023,Backyard
Pimpalgaon Chambhare,77.3076,20.4998,1/22/2021,2/7/2023,Backyard
Mhape NMMNC,73.0175,19.1178,1/28/2021,2/7/2023,Backyard
Azadnagar,77.1206,18.3944,2/1/2021,2/7/2023,Backyard
Dhayari Mawal,73.5571,18.7842,2/1/2021,2/7/2023,Farm
Pashane,73.328,19.4521,2/10/2021,2/7/2023,Farm
Asolwadi,77.3067,19.6944,2/16/2021,2/7/2023,Farm
IPDB Palghar,72.7661,19.6892,2/19/2021,2/7/2023,Farm
Ramewadi Parli,76.5251,18.8527,2/19/2021,2/7/2023,Backyard
Tidi Pimpalgaon/ Selu,76.4392,19.3579,2/24/2021,2/7/2023,Backyard
Dhiman Poultry Farm Dhankhed,77.839,20.8628,2/24/2021,2/7/2023,Farm
Aundha Nagnath Ankhali,77.11,19.43,3/6/2021,2/7/2023,Backyard
Vanjarwadi Parali Vaijanath,76.3133,18.8834,3/10/2021,2/7/2023,Backyard
Neri Dungaon Kamptee,79.109,21.1806,4/4/2021,2/7/2023,Backyard
Central Poultry Development Organisation Aarey Colony Goregaon,72.8768,19.142,1/11/2021,2/7/2023,Farm
Pimpari Khurd,77.4288,19.5039,1/17/2021,2/7/2023,Backyard
Ghansoli Rabale,73.0013,19.1292,1/28/2021,2/7/2023,Farm
Chande/ Mulshi,73.5181,18.505,1/10/2021,2/7/2023,Backyard
Mauje Baribe,74.6738,18.407,1/10/2021,2/7/2023,Backyard
