country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Hungary,Csólyospálos,19.842729,46.44667,11/24/2022,11/30/2022,Farm,Birds,0,0,domestic,4693,109997
Hungary,Szank,19.627354,46.56628,11/24/2022,12/1/2022,Farm,Birds,1209,1209,domestic,4693,109999
Hungary,Jászszentlászló,19.78338,46.55675,11/22/2022,11/22/2022,Farm,Birds,21,21,domestic,4693,109987
Hungary,Kömpöc,19.878295,46.45704,11/23/2022,11/30/2022,Farm,Birds,0,0,domestic,4693,109985
Hungary,Tázlár,19.472723,46.56342,11/22/2022,12/7/2022,Farm,Birds,0,0,domestic,4693,109982
Hungary,Csólyospálos,19.8473,46.44253,11/22/2022,11/23/2022,Farm,Birds,0,0,domestic,4693,109888
Hungary,Bócsa,19.536336,46.618622,11/23/2022,11/24/2022,Farm,Birds,86,86,domestic,4693,109514
Hungary,Kiskunmajsa,19.700779,46.543879,11/23/2022,11/26/2022,Farm,Birds,198,198,domestic,4693,109513
Hungary,Kiskunmajsa,19.70254,46.545107,11/23/2022,11/25/2022,Farm,Birds,114,114,domestic,4693,109512
Hungary,Kiskunmajsa,19.644402,46.532441,11/23/2022,11/26/2022,Farm,Birds,140,140,domestic,4693,109511
Hungary,Kiskunmajsa,19.725265,46.520024,11/23/2022,11/26/2022,Farm,Birds,165,165,domestic,4693,109510
Hungary,Kiskunmajsa,19.727489,46.537062,11/22/2022,11/24/2022,Farm,Birds,105,105,domestic,4693,109509
Hungary,Orgovány,19.458284,46.735284,11/22/2022,11/24/2022,Farm,Birds,5,5,domestic,4693,109508
Hungary,Csólyospálos,19.844208,46.442671,11/21/2022,11/26/2022,Farm,Birds,0,0,domestic,4693,109507
Hungary,Kiskunmajsa,19.693469,46.484707,11/21/2022,11/26/2022,Farm,Birds,0,0,domestic,4693,109506
Hungary,Kömpöc,19.874751,46.449825,11/21/2022,11/26/2022,Farm,Birds,0,0,domestic,4693,109505
Hungary,Kiskunmajsa,19.687294,46.499678,11/21/2022,11/24/2022,Farm,Birds,55,55,domestic,4693,109504
Hungary,Kiskunmajsa,19.676447,46.485781,11/20/2022,11/24/2022,Farm,Birds,0,0,domestic,4693,109503
Hungary,Kiskunmajsa,19.69042,46.493138,11/20/2022,11/25/2022,Farm,Birds,0,0,domestic,4693,109502
Hungary,Kiskunmajsa,19.726186,46.511456,11/19/2022,11/22/2022,Farm,Birds,118,118,domestic,4693,109206
