location,longitude,latitude,start,end,epiUnit
Delbrück,8.45,51.77,2/16/2023,12/31/1969,Farm
Borgentreich,9.24,51.62,12/15/2022,1/16/2023,Farm
Kalkar,6.3,51.72,12/9/2022,1/10/2023,Farm
Barntrup,9.057,51.979,11/28/2022,12/31/2022,Backyard
Verl,8.56,51.88,10/16/2022,11/29/2022,Farm
Verl,8.54,51.84,10/18/2022,11/29/2022,Farm
Verl,8.52,51.84,10/23/2022,11/29/2022,Farm
Bielefeld,8.49,51.96,11/28/2022,1/2/2023,Backyard
Ostbevern,7.87,52.02,11/23/2022,12/27/2022,Farm
Reichshof,7.71,50.96,10/27/2022,12/3/2022,Farm
Münster,7.54,51.93,10/13/2022,11/15/2022,Backyard
Rietberg,8.46,51.84,10/13/2022,11/29/2022,Farm
Bottrop,6.92,51.61,9/30/2022,11/7/2022,Backyard
Rees,6.44,51.77,10/30/2022,12/5/2022,Farm
